Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Leicester,38,23,12,3,68,36,32,81,0.631579,0.315789,0.0526316,0.578947,0.315789,0.105263,197,91,106,523,276,247,181,89,92,0.34608,0.322464,0.37247,0,0,0,0,0,0,0,0,0,0,8,2,2,2,0,0.666667,0.333333,0.666667,0,0.333333,10,2,4,0,0.333333,0.666667,0,0.333333,0.666667,0,29,9,2,1,1,0,0,0.5,0.333333,0.166667,18,5,3,0,0.5,0.5,0,0.75,0.25,0,16,5,1,0,1,0,0,0.666667,0.333333,0
2,Arsenal,38,20,11,7,65,36,29,71,0.631579,0.210526,0.157895,0.421053,0.368421,0.210526,227,134,93,572,323,249,210,115,95,0.367133,0.356037,0.381526,6,2,0,0,1,0,0,1,0,0,6,1,3,0,0.333333,0.333333,0,0,0.666667,0,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,21,6,3,3,0.5,0.166667,0.333333,0.5,0.333333,0.166667,17,5,2,1,0.75,0.25,0,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
3,Tottenham,38,19,13,6,69,35,34,70,0.526316,0.315789,0.157895,0.473684,0.368421,0.157895,254,142,112,661,371,290,250,145,105,0.378215,0.390836,0.362069,1,0,1,1,0,0,1,0,1,0,8,2,2,0,0.333333,0.333333,0,0.333333,0.333333,0,9,3,0,3,0.666667,0,0.333333,0.333333,0,0.666667,20,4,8,0,0.333333,0.666667,0,0.333333,0.666667,0,20,6,2,0,0.75,0.25,0,0.75,0.25,0,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333
4,Man City,38,19,9,10,71,41,30,66,0.631579,0.105263,0.263158,0.368421,0.368421,0.263158,257,155,102,612,347,265,210,115,95,0.343137,0.331412,0.358491,1,0,1,1,0,0,1,0,1,0,1,0,1,3,0,0.333333,0.333333,0,0,0.666667,5,1,2,3,0.333333,0,0.666667,0,0.666667,0.333333,23,7,2,3,0.666667,0.166667,0.166667,0.5,0.166667,0.333333,24,8,0,0,1,0,0,1,0,0,12,3,3,0,1,0,0,0,1,0
5,Man United,38,19,9,10,49,35,14,66,0.631579,0.263158,0.105263,0.368421,0.210526,0.421053,228,117,111,430,248,182,143,75,68,0.332558,0.302419,0.373626,2,0,2,0,0,1,0,0,1,0,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667,4,1,1,2,0,0.333333,0.333333,0.333333,0,0.333333,26,8,2,2,0.833333,0.166667,0,0.5,0.166667,0.333333,13,4,1,3,1,0,0,0,0.25,0.75,11,3,2,1,0.333333,0.333333,0.333333,0.666667,0.333333,0
6,Southampton,38,18,9,11,59,41,18,63,0.578947,0.157895,0.263158,0.368421,0.315789,0.315789,224,114,110,519,286,233,169,94,75,0.325626,0.328671,0.321888,1,0,1,1,0,1,0,0,0,1,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333,21,6,3,3,0.5,0,0.5,0.5,0.5,0,14,4,2,2,0.75,0.25,0,0.25,0.25,0.5,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
7,West Ham,38,16,14,8,65,51,14,62,0.473684,0.368421,0.157895,0.368421,0.368421,0.263158,224,114,110,556,312,244,184,105,79,0.330935,0.336538,0.32377,1,0,1,1,0,0,1,0,1,0,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333,7,2,1,1,0.666667,0,0,0,0.333333,0.333333,19,5,4,3,0.5,0.333333,0.166667,0.333333,0.333333,0.333333,15,4,3,1,0.25,0.5,0.25,0.75,0.25,0,9,2,3,1,0.666667,0.333333,0,0,0.666667,0.333333
8,Liverpool,38,16,12,10,63,50,13,60,0.421053,0.421053,0.157895,0.421053,0.210526,0.368421,265,142,123,629,369,260,203,108,95,0.322734,0.292683,0.365385,3,1,0,1,1,0,0,0,0,1,10,2,4,0,0.333333,0.666667,0,0.333333,0.666667,0,1,0,1,5,0,0.333333,0.666667,0,0,1,20,6,2,2,0.666667,0.166667,0,0.333333,0.166667,0.333333,15,4,3,1,0.25,0.5,0.25,0.75,0.25,0,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333
9,Stoke,38,14,9,15,41,55,-14,51,0.421053,0.210526,0.368421,0.315789,0.263158,0.421053,153,88,65,418,219,199,130,64,66,0.311005,0.292237,0.331658,1,0,1,1,0,1,0,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,14,4,2,4,0.166667,0.166667,0.5,0.5,0.166667,0.166667,7,2,1,5,0.25,0.25,0.5,0.25,0,0.75,14,4,2,0,1,0,0,0.333333,0.666667,0
10,Chelsea,38,12,14,12,59,53,6,50,0.263158,0.473684,0.263158,0.368421,0.263158,0.368421,240,127,113,526,302,224,173,93,80,0.328897,0.307947,0.357143,1,0,1,1,0,1,0,0,0,1,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,6,1,3,2,0,0.666667,0.333333,0.333333,0.333333,0.333333,6,0,6,4,0,0.666667,0.166667,0,0.333333,0.5,13,4,1,3,0.25,0.25,0.5,0.75,0,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
