Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Chelsea,38,26,9,3,73,32,41,87,0.789474,0.210526,0,0.578947,0.263158,0.157895,226,134,92,563,313,250,210,122,88,0.373002,0.389776,0.352,0,0,0,0,0,0,0,0,0,0,10,2,4,0,0.666667,0.333333,0,0,1,0,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333,33,11,0,1,1,0,0,0.833333,0,0.166667,19,6,1,1,1,0,0,0.5,0.25,0.25,16,5,1,0,0.666667,0.333333,0,1,0,0
2,Man City,38,24,7,7,83,38,45,79,0.736842,0.157895,0.105263,0.526316,0.210526,0.263158,273,170,103,668,361,307,228,129,99,0.341317,0.357341,0.322476,2,0,2,0,0,1,0,0,1,0,4,1,1,2,0.333333,0,0.333333,0,0.333333,0.333333,15,5,0,1,1,0,0,0.666667,0,0.333333,25,8,1,3,0.833333,0,0.166667,0.5,0.166667,0.333333,24,8,0,0,1,0,0,1,0,0,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333
3,Arsenal,38,22,9,7,71,36,35,75,0.631579,0.263158,0.105263,0.526316,0.210526,0.263158,254,154,100,612,359,253,228,141,87,0.372549,0.392758,0.343874,1,0,1,1,0,1,0,0,0,1,5,1,2,1,0,0.333333,0.333333,0.333333,0.333333,0,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,25,8,1,3,0.833333,0,0.166667,0.5,0.166667,0.333333,20,6,2,0,0.75,0.25,0,0.75,0.25,0,16,5,1,0,0.666667,0.333333,0,1,0,0
4,Man United,38,20,10,8,62,37,25,70,0.736842,0.105263,0.157895,0.315789,0.421053,0.263158,213,109,104,509,282,227,179,104,75,0.35167,0.368794,0.330396,1,0,1,1,0,1,0,0,0,1,7,2,1,1,0.333333,0.333333,0,0.333333,0,0.333333,13,4,1,1,0.666667,0,0.333333,0.666667,0.333333,0,18,5,3,4,0.666667,0,0.333333,0.166667,0.5,0.333333,17,5,2,1,1,0,0,0.25,0.5,0.25,14,4,2,0,1,0,0,0.333333,0.666667,0
5,Tottenham,38,19,7,12,58,53,5,64,0.526316,0.157895,0.315789,0.473684,0.210526,0.315789,224,126,98,524,292,232,172,90,82,0.328244,0.308219,0.353448,3,1,0,1,1,0,0,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,4,1,1,2,0.333333,0,0.333333,0,0.333333,0.333333,20,6,2,4,0.333333,0.333333,0.333333,0.666667,0,0.333333,16,5,1,2,0.5,0,0.5,0.75,0.25,0,16,5,1,0,1,0,0,0.666667,0.333333,0
6,Liverpool,38,18,8,12,52,48,4,62,0.526316,0.263158,0.210526,0.421053,0.157895,0.421053,198,111,87,590,331,259,194,106,88,0.328814,0.320242,0.339768,1,0,1,1,0,0,1,0,1,0,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,12,4,0,0,0.666667,0,0,0.666667,0,0,18,5,3,4,0.666667,0.166667,0.166667,0.166667,0.333333,0.5,14,4,2,2,0.25,0.5,0.25,0.75,0,0.25,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
7,Southampton,38,18,6,14,54,33,21,60,0.578947,0.210526,0.210526,0.368421,0.105263,0.526316,209,118,91,506,288,218,170,98,72,0.335968,0.340278,0.330275,2,0,2,0,0,1,0,0,1,0,6,2,0,4,0.333333,0,0.666667,0.333333,0,0.666667,1,0,1,3,0,0.333333,0.333333,0,0,0.666667,20,6,2,4,0.5,0.333333,0.166667,0.5,0,0.5,16,5,1,2,1,0,0,0.25,0.25,0.5,15,5,0,1,1,0,0,0.666667,0,0.333333
8,Swansea,38,16,8,14,46,49,-3,56,0.473684,0.263158,0.263158,0.368421,0.157895,0.473684,151,83,68,422,233,189,147,83,64,0.348341,0.356223,0.338624,0,0,0,2,0,0,1,0,0,1,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333,3,1,0,5,0,0,1,0.333333,0,0.666667,10,2,4,4,0.333333,0.5,0,0,0.166667,0.666667,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
9,Stoke,38,15,9,14,48,45,3,54,0.526316,0.157895,0.315789,0.263158,0.315789,0.421053,192,112,80,501,308,193,136,78,58,0.271457,0.253247,0.300518,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,12,4,0,2,1,0,0,0.333333,0,0.666667,15,4,3,3,0.5,0.166667,0.166667,0.166667,0.333333,0.333333,11,3,2,3,0.25,0.25,0.5,0.5,0.25,0.25,9,2,3,1,0.666667,0,0.333333,0,1,0
10,Crystal Palace,38,13,9,16,47,51,-4,48,0.315789,0.157895,0.526316,0.368421,0.315789,0.315789,209,116,93,438,243,195,139,76,63,0.317352,0.312757,0.323077,0,0,0,2,0,0,1,0,0,1,3,1,0,5,0.333333,0,0.666667,0,0,1,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,15,4,3,3,0.166667,0.166667,0.5,0.5,0.333333,0,12,3,3,2,0.25,0.25,0.5,0.5,0.5,0,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
11,Everton,38,12,11,15,48,50,-2,47,0.368421,0.368421,0.263158,0.263158,0.210526,0.526316,194,105,89,484,269,215,166,85,81,0.342975,0.315985,0.376744,0,0,0,2,0,0,1,0,0,1,5,1,2,3,0.333333,0.666667,0,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,15,4,3,3,0.166667,0.333333,0.333333,0.5,0.166667,0.166667,9,2,3,3,0.5,0.25,0.25,0,0.5,0.5,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
12,West Ham,38,12,11,15,44,47,-3,47,0.473684,0.210526,0.315789,0.157895,0.368421,0.473684,241,129,112,485,276,209,152,83,69,0.313402,0.300725,0.330144,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,5,1,2,3,0.333333,0,0.666667,0,0.666667,0.333333,13,3,4,3,0.166667,0.333333,0.333333,0.333333,0.333333,0.166667,11,3,2,3,0.75,0.25,0,0,0.25,0.75,14,4,2,0,1,0,0,0.333333,0.666667,0
13,West Brom,38,11,11,16,38,51,-13,44,0.368421,0.210526,0.421053,0.210526,0.368421,0.421053,171,99,72,411,241,170,130,76,54,0.316302,0.315353,0.317647,3,1,0,1,1,0,0,0,0,1,4,1,1,4,0,0.333333,0.666667,0.333333,0,0.666667,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,12,3,3,4,0.333333,0.166667,0.333333,0.166667,0.333333,0.333333,9,2,3,3,0.25,0.25,0.5,0.25,0.5,0.25,8,2,2,2,0.666667,0,0.333333,0,0.666667,0.333333
14,Leicester,38,11,8,19,46,55,-9,41,0.368421,0.263158,0.368421,0.210526,0.157895,0.631579,211,120,91,457,275,182,137,83,54,0.299781,0.301818,0.296703,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,14,4,2,6,0.333333,0.166667,0.5,0.333333,0.166667,0.5,8,2,2,2,0.5,0.25,0,0,0.25,0.5,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333
15,Newcastle,38,10,9,19,40,63,-23,39,0.368421,0.263158,0.368421,0.157895,0.210526,0.631579,222,130,92,467,268,199,143,81,62,0.30621,0.302239,0.311558,3,1,0,1,1,0,0,0,0,1,0,0,0,6,0,0,1,0,0,1,6,2,0,4,0.333333,0,0.666667,0.333333,0,0.666667,14,3,5,4,0.333333,0.5,0.166667,0.166667,0.333333,0.5,7,2,1,3,0.5,0,0.25,0,0.25,0.5,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333
16,Sunderland,38,7,17,14,31,53,-22,38,0.210526,0.421053,0.368421,0.157895,0.473684,0.368421,185,112,73,404,213,191,129,57,72,0.319307,0.267606,0.376963,1,0,1,1,0,1,0,0,0,1,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,16,3,7,2,0.166667,0.666667,0.166667,0.333333,0.5,0.166667,9,2,3,1,0.25,0.25,0.25,0.25,0.5,0,5,1,2,3,0.333333,0,0.666667,0,0.666667,0.333333
17,Aston Villa,38,10,8,20,31,57,-26,38,0.263158,0.315789,0.421053,0.263158,0.105263,0.631579,171,89,82,414,222,192,127,65,62,0.306763,0.292793,0.322917,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0.333333,0.666667,0,0,1,7,2,1,3,0,0.333333,0.666667,0.666667,0,0.333333,17,5,2,5,0.5,0.166667,0.333333,0.333333,0.166667,0.5,8,2,2,2,0.25,0.5,0,0.25,0,0.5,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667
18,Hull,38,8,11,19,33,51,-18,35,0.263158,0.263158,0.473684,0.157895,0.315789,0.526316,169,91,78,429,243,186,131,78,53,0.305361,0.320988,0.284946,0,0,0,2,0,0,1,0,0,1,3,0,3,3,0,0.333333,0.666667,0,0.666667,0.333333,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,13,3,4,5,0.333333,0.5,0.166667,0.166667,0.166667,0.666667,9,2,3,3,0.25,0.25,0.5,0.25,0.5,0.25,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333
