Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Chelsea,38,29,8,1,72,15,57,95,0.736842,0.263158,0,0.789474,0.157895,0.0526316,236,131,105,533,280,253,304,155,149,0.570356,0.553571,0.588933,0,0,0,0,0,0,0,0,0,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0,16,5,1,0,0.666667,0.333333,0,1,0,0,25,7,4,1,0.5,0.5,0,0.666667,0.166667,0.166667,22,7,1,0,1,0,0,0.75,0.25,0,18,6,0,0,1,0,0,1,0,0
2,Arsenal,38,25,8,5,87,36,51,83,0.684211,0.263158,0.0526316,0.631579,0.157895,0.210526,203,122,81,479,256,223,299,163,136,0.624217,0.636719,0.609865,2,0,2,0,0,1,0,0,1,0,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667,31,10,1,1,0.833333,0.166667,0,0.833333,0,0.166667,22,7,1,0,0.75,0.25,0,1,0,0,12,3,3,0,0.666667,0.333333,0,0.333333,0.666667,0
3,Man United,38,22,11,5,58,26,32,77,0.631579,0.315789,0.0526316,0.526316,0.263158,0.210526,294,177,117,617,353,264,334,191,143,0.541329,0.541076,0.541667,0,0,0,2,0,0,1,0,0,1,7,2,1,1,0.333333,0.333333,0,0.333333,0,0.333333,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0,28,8,4,0,0.666667,0.333333,0,0.666667,0.333333,0,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
4,Everton,38,18,7,13,45,46,-1,61,0.631579,0.105263,0.263158,0.315789,0.263158,0.421053,190,108,82,382,222,160,185,106,79,0.484293,0.477477,0.49375,0,0,0,2,0,0,1,0,0,1,4,1,1,2,0.333333,0,0.333333,0,0.333333,0.333333,10,3,1,2,1,0,0,0,0.333333,0.666667,17,5,2,5,0.333333,0.333333,0.333333,0.5,0,0.5,14,4,2,2,0.75,0,0.25,0.25,0.5,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
5,Liverpool,38,17,7,14,52,41,11,58,0.631579,0.210526,0.157895,0.263158,0.157895,0.578947,220,131,89,490,274,216,241,137,104,0.491837,0.5,0.481481,0,0,0,2,0,0,1,0,0,1,6,2,0,4,0.666667,0,0.333333,0,0,1,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,21,6,3,3,0.666667,0.166667,0.166667,0.333333,0.333333,0.333333,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,12,4,0,2,1,0,0,0.333333,0,0.666667
6,Bolton,38,16,10,12,49,44,5,58,0.473684,0.263158,0.263158,0.368421,0.263158,0.368421,206,115,91,480,303,177,254,170,84,0.529167,0.561056,0.474576,1,0,1,1,0,0,1,0,1,0,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,23,7,2,3,0.5,0.166667,0.333333,0.666667,0.166667,0.166667,8,2,2,4,0.25,0.25,0.5,0.25,0.25,0.5,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
7,Middlesbrough,38,14,13,11,53,46,7,55,0.473684,0.315789,0.210526,0.263158,0.368421,0.368421,194,105,89,452,269,183,259,154,105,0.573009,0.572491,0.57377,0,0,0,2,0,0,1,0,0,1,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,6,1,3,0,0.333333,0.333333,0,0,0.666667,0,21,6,3,3,0.666667,0.333333,0,0.333333,0.166667,0.5,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0
8,Man City,38,13,13,12,47,39,8,52,0.421053,0.315789,0.263158,0.263158,0.368421,0.368421,234,127,107,400,208,192,210,106,104,0.525,0.509615,0.541667,4,1,1,0,1,0,0,0,1,0,2,0,2,4,0,0,1,0,0.666667,0.333333,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,15,4,3,3,0.5,0.166667,0.166667,0.166667,0.333333,0.333333,10,2,4,2,0.25,0.75,0,0.25,0.25,0.5,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
9,Tottenham,38,14,10,14,47,41,6,52,0.473684,0.263158,0.263158,0.263158,0.263158,0.473684,195,110,85,455,271,184,249,155,94,0.547253,0.571956,0.51087,1,0,1,1,0,0,1,0,1,0,7,2,1,3,0.333333,0,0.666667,0.333333,0.333333,0.333333,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,16,5,1,4,0.666667,0,0.166667,0.166667,0.166667,0.5,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,8,2,2,2,0.333333,0.666667,0,0.333333,0,0.666667
10,Aston Villa,38,12,11,15,45,52,-7,47,0.421053,0.315789,0.263158,0.210526,0.263158,0.526316,215,112,103,397,211,186,207,112,95,0.521411,0.530806,0.510753,1,0,1,1,0,1,0,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,8,2,2,2,0.333333,0.666667,0,0.333333,0,0.666667,8,2,2,6,0.333333,0.166667,0.333333,0,0.166667,0.666667,18,5,3,0,0.75,0.25,0,0.5,0.5,0,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
