Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Chelsea,38,27,5,6,103,32,71,86,0.894737,0.0526316,0.0526316,0.526316,0.210526,0.263158,285,142,143,697,394,303,388,230,158,0.556671,0.583756,0.521452,0,0,0,0,0,0,0,0,0,0,15,5,0,1,1,0,0,0.666667,0,0.333333,9,3,0,3,0.666667,0,0.333333,0.333333,0,0.666667,27,8,3,1,0.833333,0.166667,0,0.5,0.333333,0.166667,19,6,1,1,1,0,0,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
2,Man United,38,27,4,7,86,28,58,85,0.842105,0.0526316,0.105263,0.578947,0.157895,0.263158,294,167,127,616,343,273,344,195,149,0.558442,0.568513,0.545788,0,0,0,2,0,0,1,0,0,1,12,4,0,0,0.666667,0,0,0.666667,0,0,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,24,7,3,2,0.833333,0.166667,0,0.333333,0.333333,0.333333,24,8,0,0,1,0,0,1,0,0,15,5,0,1,1,0,0,0.666667,0,0.333333
3,Arsenal,38,23,6,9,83,41,42,75,0.789474,0.105263,0.105263,0.421053,0.210526,0.368421,258,132,126,560,306,254,329,187,142,0.5875,0.611111,0.559055,0,0,0,2,0,0,1,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333,26,8,2,2,0.833333,0.166667,0,0.5,0.166667,0.333333,19,6,1,1,1,0,0,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
4,Tottenham,38,21,7,10,67,41,26,70,0.736842,0.105263,0.157895,0.368421,0.263158,0.368421,241,141,100,597,351,246,348,202,146,0.582915,0.575499,0.593496,3,1,0,1,1,0,0,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333,24,7,3,2,0.833333,0,0.166667,0.333333,0.5,0.166667,16,5,1,2,0.75,0,0.25,0.5,0.25,0.25,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
5,Man City,38,18,13,7,73,45,28,67,0.631579,0.210526,0.157895,0.315789,0.473684,0.210526,239,146,93,454,243,211,252,130,122,0.555066,0.534979,0.578199,6,2,0,0,1,0,0,1,0,0,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,6,1,3,0,0.333333,0.333333,0,0,0.666667,0,22,6,4,2,0.666667,0.166667,0.166667,0.333333,0.5,0.166667,18,5,3,0,1,0,0,0.25,0.75,0,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333
6,Aston Villa,38,17,13,8,52,39,13,64,0.421053,0.421053,0.157895,0.473684,0.263158,0.263158,241,138,103,429,226,203,239,121,118,0.55711,0.535398,0.581281,3,1,0,1,1,0,0,0,0,1,7,1,4,1,0,1,0,0.333333,0.333333,0.333333,4,1,1,2,0,0.333333,0.333333,0.333333,0,0.333333,22,6,4,2,0.5,0.333333,0.166667,0.5,0.333333,0.166667,12,3,3,2,0.25,0.5,0.25,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
7,Liverpool,38,18,9,11,61,35,26,63,0.684211,0.157895,0.157895,0.263158,0.315789,0.421053,268,157,111,519,305,214,288,169,119,0.554913,0.554098,0.556075,0,0,0,2,0,0,1,0,0,1,6,2,0,4,0.666667,0,0.333333,0,0,1,5,1,2,1,0,0.333333,0.333333,0.333333,0.333333,0,20,5,5,2,0.666667,0.333333,0,0.166667,0.5,0.333333,19,6,1,1,1,0,0,0.5,0.25,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
8,Everton,38,16,13,9,60,49,11,61,0.578947,0.315789,0.105263,0.263158,0.368421,0.368421,228,123,105,510,292,218,307,166,141,0.601961,0.568493,0.646789,4,1,1,0,1,0,0,0,1,0,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,17,4,5,1,0.5,0.333333,0,0.166667,0.5,0.166667,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,12,4,0,2,1,0,0,0.333333,0,0.666667
9,Birmingham,38,13,11,14,38,47,-9,50,0.421053,0.473684,0.105263,0.263158,0.105263,0.631579,189,103,86,373,197,176,220,109,111,0.589812,0.553299,0.630682,1,0,1,1,0,1,0,0,0,1,3,0,3,3,0,1,0,0,0,1,3,0,3,3,0,0.666667,0.333333,0,0.333333,0.666667,15,4,3,3,0.5,0.333333,0,0.166667,0.166667,0.5,15,5,0,3,0.75,0,0.25,0.5,0,0.5,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
10,Blackburn,38,13,11,14,41,55,-14,50,0.526316,0.315789,0.157895,0.157895,0.263158,0.578947,182,96,86,434,247,187,238,140,98,0.548387,0.566802,0.524064,1,0,1,1,0,1,0,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,8,2,2,6,0.333333,0.333333,0.166667,0,0,0.833333,16,4,4,0,0.75,0.25,0,0.25,0.75,0,14,4,2,0,1,0,0,0.333333,0.666667,0
11,Stoke,38,11,14,13,34,48,-14,47,0.368421,0.315789,0.315789,0.210526,0.421053,0.368421,183,111,72,337,184,153,170,95,75,0.504451,0.516304,0.490196,0,0,0,2,0,0,1,0,0,1,3,1,0,5,0,0,1,0.333333,0,0.666667,3,0,3,3,0,1,0,0,0,1,17,4,5,1,0.5,0.166667,0.166667,0.166667,0.666667,0,11,2,5,1,0.25,0.5,0.25,0.25,0.75,0,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
12,Fulham,38,12,10,16,39,46,-7,46,0.578947,0.157895,0.263158,0.0526316,0.368421,0.578947,182,101,81,380,225,155,210,124,86,0.552632,0.551111,0.554839,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,5,1,2,3,0.333333,0,0.666667,0,0.666667,0.333333,13,4,1,5,0.666667,0,0.166667,0,0.166667,0.666667,11,2,5,1,0.5,0.5,0,0,0.75,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
13,Sunderland,38,11,11,16,48,56,-8,44,0.473684,0.368421,0.157895,0.105263,0.210526,0.684211,181,86,95,384,206,178,216,119,97,0.5625,0.57767,0.544944,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.666667,0,0.333333,0,0.333333,0.666667,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,10,2,4,4,0.333333,0.5,0,0,0.166667,0.666667,11,3,2,3,0.5,0.5,0,0.25,0,0.75,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
14,Bolton,38,10,9,19,42,67,-25,39,0.315789,0.315789,0.368421,0.210526,0.157895,0.631579,192,108,84,460,257,203,246,146,100,0.534783,0.568093,0.492611,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0.333333,0.666667,0,0,1,1,0,1,5,0,0.333333,0.666667,0,0,1,15,4,3,5,0.333333,0.333333,0.333333,0.333333,0.166667,0.5,13,4,1,1,0.75,0,0,0.25,0.25,0.25,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333
15,Wolves,38,9,11,18,32,56,-24,38,0.263158,0.315789,0.421053,0.210526,0.263158,0.526316,206,99,107,377,218,159,206,125,81,0.546419,0.573394,0.509434,0,0,0,2,0,0,1,0,0,1,6,2,0,4,0.333333,0,0.666667,0.333333,0,0.666667,3,0,3,3,0,0.666667,0.333333,0,0.333333,0.666667,12,2,6,4,0.333333,0.5,0.166667,0,0.5,0.5,9,3,0,3,0.25,0,0.5,0.5,0,0.25,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
16,Wigan,38,9,9,20,37,79,-42,36,0.315789,0.368421,0.315789,0.157895,0.105263,0.736842,184,108,76,498,281,217,266,147,119,0.534137,0.523132,0.548387,3,1,0,1,1,0,0,0,0,1,3,1,0,5,0.333333,0,0.666667,0,0,1,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,8,1,5,6,0.166667,0.5,0.333333,0,0.333333,0.666667,7,2,1,3,0.25,0.25,0.25,0.25,0,0.5,8,2,2,2,0.333333,0.666667,0,0.333333,0,0.666667
