Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Blackburn,42,27,8,7,80,39,41,89,0.894737,0.105263,0.105263,0.526316,0.315789,0.263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0.666667,0,0.333333,0.333333,0,0.666667,9,2,3,1,0.666667,0.333333,0,0,0.666667,0.333333,41,13,2,1,1,0,0,0.625,0.25,0.125,19,6,1,1,0.75,0,0.25,0.75,0.25,0,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
2,Man United,42,26,10,6,77,28,49,88,0.842105,0.210526,0.0526316,0.526316,0.315789,0.263158,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,1,0,0,4,1,1,2,0.333333,0,0.333333,0,0.333333,0.333333,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333,34,10,4,2,0.875,0.125,0,0.375,0.375,0.25,22,7,1,0,1,0,0,0.75,0.25,0,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
3,Nott'm Forest,42,22,11,9,72,43,29,77,0.631579,0.315789,0.157895,0.526316,0.263158,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,5,1,2,1,0,0.666667,0,0.333333,0,0.333333,8,2,2,2,0.333333,0.666667,0,0.333333,0,0.666667,29,8,5,3,0.625,0.25,0.125,0.375,0.375,0.25,17,5,2,1,0.75,0,0.25,0.5,0.5,0,18,6,0,0,1,0,0,1,0,0
4,Liverpool,42,21,11,10,65,37,28,74,0.684211,0.263158,0.157895,0.421053,0.315789,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,7,2,1,1,0.666667,0,0,0,0.333333,0.333333,9,2,3,1,0.333333,0.333333,0.333333,0.333333,0.666667,0,29,8,5,3,0.625,0.375,0,0.375,0.25,0.375,11,3,2,3,0.5,0.25,0.25,0.25,0.25,0.5,15,5,0,1,0.666667,0,0.333333,1,0,0
5,Leeds,42,20,13,9,59,38,21,73,0.684211,0.263158,0.157895,0.368421,0.421053,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,6,1,3,0,0,0.666667,0,0.333333,0.333333,0,26,7,5,4,0.5,0.25,0.25,0.375,0.375,0.25,17,5,2,1,1,0,0,0.25,0.5,0.25,12,4,0,2,1,0,0,0.333333,0,0.666667
6,Newcastle,42,20,12,10,67,47,20,72,0.736842,0.315789,0.0526316,0.315789,0.315789,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,2,0,2,2,0,0.333333,0.333333,0,0.333333,0.333333,32,10,2,4,1,0,0,0.25,0.25,0.5,18,5,3,0,0.75,0.25,0,0.5,0.5,0,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
7,Tottenham,42,16,14,12,66,58,8,62,0.526316,0.263158,0.315789,0.315789,0.473684,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,4,0,4,2,0,0.333333,0.666667,0,1,0,6,1,3,0,0.333333,0.333333,0,0,0.666667,0,26,7,5,4,0.5,0.25,0.25,0.375,0.375,0.25,8,2,2,4,0.25,0.25,0.5,0.25,0.25,0.5,15,5,0,1,1,0,0,0.666667,0,0.333333
8,QPR,42,17,9,16,61,59,2,60,0.578947,0.157895,0.368421,0.315789,0.315789,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,10,3,1,2,1,0,0,0,0.333333,0.666667,24,7,3,4,0.5,0.125,0.25,0.375,0.25,0.25,11,3,2,3,0.25,0.25,0.5,0.5,0.25,0.25,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333
9,Wimbledon,42,15,11,16,48,65,-17,56,0.473684,0.263158,0.368421,0.315789,0.315789,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,2,4,0,0.666667,0.333333,0,0,1,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,19,5,4,5,0.25,0.125,0.5,0.375,0.375,0.125,14,4,2,2,1,0,0,0,0.5,0.5,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
10,Southampton,42,12,18,12,61,63,-2,54,0.421053,0.473684,0.210526,0.210526,0.473684,0.421053,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,2,0,2,4,0,0.666667,0.333333,0,0,1,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,21,5,6,3,0.375,0.25,0.25,0.25,0.5,0.125,14,3,5,0,0.5,0.5,0,0.25,0.75,0,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667
