Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man United,38,27,6,5,80,22,58,87,0.894737,0.0526316,0.0526316,0.526316,0.263158,0.210526,262,132,130,620,353,267,353,209,144,0.569355,0.592068,0.539326,0,0,0,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0.333333,0.333333,0.333333,16,5,1,0,1,0,0,0.666667,0.333333,0,21,6,3,3,0.833333,0,0.166667,0.166667,0.5,0.333333,21,7,0,1,1,0,0,0.75,0,0.25,16,5,1,0,0.666667,0.333333,0,1,0,0
2,Chelsea,38,25,10,3,65,26,39,85,0.631579,0.368421,0,0.684211,0.157895,0.157895,254,142,112,497,276,221,270,149,121,0.54326,0.539855,0.547511,3,1,0,1,1,0,0,0,0,1,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,9,2,3,1,0,1,0,0.666667,0,0.333333,32,10,2,0,1,0,0,0.666667,0.333333,0,18,5,3,0,0.25,0.75,0,1,0,0,18,6,0,0,1,0,0,1,0,0
3,Arsenal,38,24,11,3,74,31,43,83,0.736842,0.263158,0,0.526316,0.315789,0.157895,237,140,97,530,277,253,289,150,139,0.545283,0.541516,0.549407,1,0,1,1,0,1,0,0,0,1,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0,27,8,3,1,0.833333,0.166667,0,0.5,0.333333,0.166667,22,7,1,0,1,0,0,0.75,0.25,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
4,Liverpool,38,21,13,4,67,28,39,76,0.631579,0.315789,0.0526316,0.473684,0.368421,0.157895,237,133,104,607,332,275,320,175,145,0.527183,0.527108,0.527273,0,0,0,2,0,0,1,0,0,1,4,0,4,0,0,0.666667,0,0,0.666667,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0,25,7,4,1,0.833333,0.166667,0,0.333333,0.5,0.166667,22,7,1,0,0.75,0.25,0,1,0,0,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
5,Everton,38,19,8,11,55,33,22,65,0.578947,0.210526,0.210526,0.421053,0.210526,0.368421,198,123,75,420,247,173,234,136,98,0.557143,0.550607,0.566474,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,3,0,3,1,0,0.666667,0,0,0.333333,0.333333,27,8,3,1,0.666667,0.333333,0,0.666667,0.166667,0.166667,21,7,0,1,1,0,0,0.75,0,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
6,Aston Villa,38,16,12,10,71,51,20,60,0.526316,0.157895,0.315789,0.315789,0.473684,0.210526,228,117,111,414,215,199,221,101,120,0.533816,0.469767,0.603015,0,0,0,2,0,0,1,0,0,1,6,1,3,2,0.333333,0,0.666667,0,1,0,8,2,2,0,0.333333,0.333333,0,0.333333,0.333333,0,17,4,5,3,0.5,0.333333,0.166667,0.166667,0.5,0.333333,11,3,2,3,0.5,0,0.5,0.25,0.5,0.25,18,6,0,0,1,0,0,1,0,0
7,Blackburn,38,15,13,10,50,48,2,58,0.421053,0.368421,0.210526,0.368421,0.315789,0.315789,198,106,92,448,249,199,237,118,119,0.529018,0.473896,0.59799,1,0,1,1,0,1,0,0,0,1,3,0,3,3,0,0.666667,0.333333,0,0.333333,0.666667,3,0,3,1,0,0.333333,0.333333,0,0.666667,0,21,6,3,3,0.333333,0.333333,0.333333,0.666667,0.166667,0.166667,17,5,2,1,0.75,0.25,0,0.5,0.25,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
8,Portsmouth,38,16,9,13,48,40,8,57,0.368421,0.421053,0.210526,0.473684,0.0526316,0.473684,185,112,73,501,275,226,267,141,126,0.532934,0.512727,0.557522,1,0,1,1,0,1,0,0,0,1,3,0,3,3,0,1,0,0,0,1,10,3,1,2,0.333333,0.333333,0.333333,0.666667,0,0.333333,9,2,3,5,0,0.5,0.333333,0.333333,0,0.5,18,6,0,2,0.75,0,0.25,0.75,0,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
9,Man City,38,15,10,13,45,53,-8,55,0.578947,0.210526,0.210526,0.210526,0.315789,0.473684,156,79,77,374,218,156,204,129,75,0.545455,0.591743,0.480769,6,2,0,0,1,0,0,1,0,0,1,0,1,5,0,0.333333,0.666667,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,20,6,2,2,0.666667,0.166667,0,0.333333,0.166667,0.333333,13,3,4,1,0.5,0.25,0.25,0.25,0.75,0,10,3,1,2,1,0,0,0,0.333333,0.666667
10,West Ham,38,13,10,15,42,50,-8,49,0.368421,0.368421,0.263158,0.315789,0.157895,0.526316,210,123,87,426,234,192,223,128,95,0.523474,0.547009,0.494792,3,1,0,1,1,0,0,0,0,1,3,1,0,5,0.333333,0,0.666667,0,0,1,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,10,2,4,4,0.166667,0.333333,0.333333,0.166667,0.333333,0.333333,11,3,2,3,0.5,0.5,0,0.25,0,0.75,14,4,2,0,0.333333,0.666667,0,1,0,0
