Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man City,38,28,5,5,93,29,64,89,0.947368,0.0526316,0,0.526316,0.210526,0.263158,269,153,116,666,353,313,399,215,184,0.599099,0.609065,0.587859,0,0,0,0,0,0,0,0,0,0,15,5,0,1,1,0,0,0.666667,0,0.333333,12,4,0,2,1,0,0,0.333333,0,0.666667,22,6,4,2,0.833333,0.166667,0,0.166667,0.5,0.333333,22,7,1,0,1,0,0,0.75,0.25,0,18,6,0,0,1,0,0,1,0,0
2,Man United,38,28,5,5,89,33,56,89,0.789474,0.105263,0.105263,0.684211,0.157895,0.157895,279,169,110,592,370,222,369,228,141,0.623311,0.616216,0.635135,0,0,0,2,0,0,1,0,0,1,12,4,0,0,0.666667,0,0,0.666667,0,0,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333,34,11,1,0,1,0,0,0.833333,0.166667,0,19,6,1,1,1,0,0,0.5,0.25,0.25,15,5,0,1,0.666667,0,0.333333,1,0,0
3,Arsenal,38,21,7,10,74,49,25,70,0.631579,0.210526,0.157895,0.473684,0.157895,0.368421,263,158,105,585,320,265,352,185,167,0.601709,0.578125,0.630189,3,1,0,1,1,0,0,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0,23,7,2,3,0.5,0.333333,0.166667,0.666667,0,0.333333,16,5,1,2,0.75,0,0.25,0.5,0.25,0.25,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
4,Tottenham,38,20,9,9,66,41,25,69,0.684211,0.157895,0.157895,0.368421,0.315789,0.315789,283,147,136,635,352,283,373,210,163,0.587402,0.596591,0.575972,0,0,0,2,0,0,1,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,9,2,3,1,0.666667,0.333333,0,0,0.666667,0.333333,27,8,3,1,0.833333,0,0.166667,0.5,0.5,0,14,4,2,2,0.75,0.25,0,0.25,0.25,0.5,16,5,1,0,0.666667,0.333333,0,1,0,0
5,Newcastle,38,19,8,11,56,51,5,65,0.578947,0.263158,0.157895,0.421053,0.157895,0.421053,172,106,66,451,263,188,255,146,109,0.56541,0.555133,0.579787,0,0,0,2,0,0,1,0,0,1,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333,20,6,2,4,0.5,0.333333,0.166667,0.5,0,0.5,17,5,2,1,1,0,0,0.25,0.5,0.25,16,5,1,0,0.666667,0.333333,0,1,0,0
6,Chelsea,38,18,10,10,65,46,19,64,0.631579,0.157895,0.210526,0.315789,0.368421,0.315789,254,132,122,616,335,281,334,177,157,0.542208,0.528358,0.558719,3,1,0,1,1,0,0,0,0,1,4,0,4,2,0,0.666667,0.333333,0,0.666667,0.333333,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333,19,5,4,3,0.666667,0.166667,0.166667,0.166667,0.5,0.333333,14,4,2,2,0.75,0,0.25,0.25,0.5,0.25,18,6,0,0,1,0,0,1,0,0
7,Everton,38,15,11,12,50,40,10,56,0.526316,0.157895,0.315789,0.263158,0.421053,0.315789,179,100,79,474,269,205,253,145,108,0.533755,0.539033,0.526829,3,1,0,1,1,0,0,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,6,2,0,2,0.666667,0,0,0,0,0.666667,24,7,3,2,0.666667,0.166667,0.166667,0.5,0.333333,0.166667,8,1,5,2,0.25,0.25,0.5,0,1,0,11,3,2,1,0.333333,0.333333,0.333333,0.666667,0.333333,0
8,Liverpool,38,14,10,14,47,40,7,52,0.315789,0.473684,0.210526,0.421053,0.0526316,0.526316,308,173,135,612,337,275,330,169,161,0.539216,0.501484,0.585455,1,0,1,1,0,1,0,0,0,1,5,1,2,3,0,0.666667,0.333333,0.333333,0,0.666667,15,5,0,1,1,0,0,0.666667,0,0.333333,9,2,3,5,0,0.5,0.333333,0.333333,0,0.5,9,2,3,3,0.25,0.5,0.25,0.25,0.25,0.5,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
9,Fulham,38,14,10,14,48,51,-3,52,0.526316,0.263158,0.210526,0.210526,0.263158,0.526316,188,109,79,489,302,187,301,192,109,0.615542,0.635762,0.582888,1,0,1,1,0,1,0,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,16,4,4,2,0.5,0.166667,0.166667,0.166667,0.5,0.166667,16,5,1,2,0.75,0.25,0,0.5,0,0.5,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667
10,West Brom,38,13,8,17,45,52,-7,47,0.315789,0.157895,0.526316,0.368421,0.263158,0.368421,212,127,85,470,254,216,264,144,120,0.561702,0.566929,0.555556,1,0,1,1,0,1,0,0,0,1,0,0,0,6,0,0,1,0,0,1,6,2,0,4,0.333333,0,0.666667,0.333333,0,0.666667,12,3,3,4,0.166667,0.166667,0.5,0.333333,0.333333,0.166667,12,3,3,2,0.25,0.25,0.5,0.5,0.5,0,16,5,1,0,1,0,0,0.666667,0.333333,0
