Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man City,38,27,5,6,102,37,65,86,0.894737,0.0526316,0.0526316,0.526316,0.210526,0.263158,283,155,128,673,377,296,238,136,102,0.35364,0.360743,0.344595,0,0,0,0,0,0,0,0,0,0,7,2,1,3,0.666667,0,0.333333,0,0.333333,0.666667,18,6,0,0,1,0,0,1,0,0,32,10,2,0,1,0,0,0.666667,0.333333,0,16,5,1,2,0.75,0.25,0,0.5,0,0.5,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
2,Liverpool,38,26,6,6,101,50,51,84,0.842105,0.0526316,0.105263,0.526316,0.263158,0.210526,224,118,106,650,371,279,259,145,114,0.398462,0.390836,0.408602,3,1,0,1,1,0,0,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,16,5,1,0,1,0,0,0.666667,0.333333,0,27,8,3,1,0.833333,0,0.166667,0.5,0.5,0,17,5,2,1,0.75,0.25,0,0.5,0.25,0.25,18,6,0,0,1,0,0,1,0,0
3,Chelsea,38,25,7,6,71,27,44,82,0.789474,0.157895,0.0526316,0.526316,0.210526,0.263158,249,131,118,693,374,319,228,135,93,0.329004,0.360963,0.291536,6,2,0,0,1,0,0,1,0,0,10,3,1,0,0.666667,0,0,0.333333,0.333333,0,11,3,2,1,1,0,0,0,0.666667,0.333333,25,8,1,3,0.833333,0.166667,0,0.5,0,0.5,14,4,2,2,0.5,0.25,0.25,0.5,0.25,0.25,16,5,1,0,0.666667,0.333333,0,1,0,0
4,Arsenal,38,24,7,7,68,41,27,79,0.684211,0.263158,0.0526316,0.578947,0.105263,0.315789,211,127,84,524,285,239,210,114,96,0.400763,0.4,0.401674,1,0,1,1,0,1,0,0,0,1,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,8,2,2,2,0.333333,0.666667,0,0.333333,0,0.666667,29,9,2,1,0.833333,0.166667,0,0.666667,0.166667,0.166667,19,6,1,1,0.75,0,0.25,0.75,0.25,0,18,6,0,0,1,0,0,1,0,0
5,Everton,38,21,9,8,61,39,22,72,0.684211,0.157895,0.157895,0.421053,0.315789,0.263158,251,144,107,560,313,247,195,119,76,0.348214,0.380192,0.307692,0,0,0,2,0,0,1,0,0,1,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,7,2,1,1,0.333333,0.333333,0,0.333333,0,0.333333,26,8,2,2,0.833333,0,0.166667,0.5,0.333333,0.166667,17,5,2,1,0.5,0.25,0.25,0.75,0.25,0,14,4,2,0,1,0,0,0.333333,0.666667,0
6,Tottenham,38,21,6,11,55,51,4,69,0.578947,0.157895,0.263158,0.526316,0.157895,0.315789,230,120,110,584,297,287,189,98,91,0.32363,0.329966,0.317073,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0.333333,0.666667,0,0,1,8,2,2,0,0.333333,0.333333,0,0.333333,0.333333,0,27,9,0,3,0.666667,0,0.333333,0.833333,0,0.166667,18,5,3,0,0.75,0.25,0,0.5,0.5,0,15,5,0,1,1,0,0,0.666667,0,0.333333
7,Man United,38,19,7,12,64,43,21,64,0.473684,0.157895,0.368421,0.526316,0.210526,0.263158,216,119,97,525,301,224,181,102,79,0.344762,0.33887,0.352679,0,0,0,2,0,0,1,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,1,0,1,3,0,0,0.666667,0,0.333333,0.333333,26,8,2,2,0.666667,0.166667,0.166667,0.666667,0.166667,0.166667,18,6,0,2,0.5,0,0.5,1,0,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
8,Southampton,38,15,11,12,54,46,8,56,0.421053,0.315789,0.263158,0.368421,0.263158,0.368421,211,116,95,531,299,232,177,102,75,0.333333,0.341137,0.323276,1,0,1,1,0,1,0,0,0,1,4,1,1,4,0,0.333333,0.666667,0.333333,0,0.666667,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,19,5,4,1,0.5,0.333333,0,0.333333,0.333333,0.166667,15,4,3,1,0.5,0.25,0.25,0.5,0.5,0,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333
9,Stoke,38,13,11,14,45,52,-7,50,0.526316,0.315789,0.157895,0.157895,0.263158,0.578947,164,93,71,425,239,186,139,75,64,0.327059,0.313808,0.344086,1,0,1,1,0,1,0,0,0,1,6,2,0,4,0.666667,0,0.333333,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,16,4,4,2,0.5,0.333333,0,0.166667,0.333333,0.333333,17,5,2,1,0.75,0.25,0,0.5,0.25,0.25,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333
10,Newcastle,38,15,4,19,43,59,-16,49,0.421053,0.157895,0.421053,0.368421,0.0526316,0.578947,190,123,67,579,337,242,184,100,84,0.317789,0.296736,0.347107,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,6,2,0,4,0,0,1,0.666667,0,0.333333,14,4,2,4,0.333333,0.333333,0.166667,0.333333,0,0.5,12,4,0,4,0.5,0,0.5,0.5,0,0.5,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
11,Crystal Palace,38,13,6,19,33,48,-15,45,0.421053,0.157895,0.421053,0.263158,0.157895,0.578947,172,96,76,414,215,199,143,76,67,0.345411,0.353488,0.336683,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,4,1,1,4,0,0.333333,0.666667,0.333333,0,0.666667,10,3,1,6,0.333333,0,0.5,0.166667,0.166667,0.5,19,6,1,1,1,0,0,0.5,0.25,0.25,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
12,Swansea,38,11,9,18,54,54,0,42,0.315789,0.263158,0.421053,0.263158,0.210526,0.526316,223,120,103,494,249,245,163,95,68,0.32996,0.381526,0.277551,0,0,0,2,0,0,1,0,0,1,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,0,0,0,6,0,0,1,0,0,1,13,3,4,3,0.166667,0.5,0.166667,0.333333,0.166667,0.333333,14,4,2,2,0.5,0.25,0.25,0.5,0.25,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
13,West Ham,38,11,7,20,40,51,-11,40,0.368421,0.157895,0.473684,0.210526,0.210526,0.578947,184,99,85,418,241,177,119,72,47,0.284689,0.298755,0.265537,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,6,2,0,4,0.333333,0,0.666667,0.333333,0,0.666667,9,2,3,5,0.333333,0,0.5,0,0.5,0.333333,12,3,3,2,0.25,0.75,0,0.5,0,0.5,12,4,0,2,1,0,0,0.333333,0,0.666667
14,Sunderland,38,10,8,20,41,60,-19,38,0.263158,0.157895,0.578947,0.263158,0.263158,0.473684,188,107,81,490,290,200,137,74,63,0.279592,0.255172,0.315,4,1,1,0,1,0,0,0,1,0,3,1,0,5,0,0,1,0.333333,0,0.666667,6,2,0,4,0,0,1,0.666667,0,0.333333,13,3,4,5,0.333333,0.333333,0.333333,0.166667,0.333333,0.5,4,1,1,4,0.25,0,0.5,0,0.25,0.5,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
15,Aston Villa,38,10,8,20,39,61,-22,38,0.315789,0.157895,0.526316,0.210526,0.263158,0.526316,163,94,69,430,233,197,134,75,59,0.311628,0.321888,0.299492,3,1,0,1,1,0,0,0,0,1,7,2,1,3,0.333333,0,0.666667,0.333333,0.333333,0.333333,0,0,0,6,0,0,1,0,0,1,6,1,3,8,0,0.333333,0.666667,0.166667,0.166667,0.666667,12,3,3,0,0.5,0.25,0,0.25,0.5,0,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333
16,Hull,38,10,7,21,38,53,-15,37,0.368421,0.210526,0.421053,0.157895,0.157895,0.684211,160,96,64,425,246,179,129,73,56,0.303529,0.296748,0.312849,0,0,0,2,0,0,1,0,0,1,3,1,0,5,0.333333,0,0.666667,0,0,1,1,0,1,5,0,0.333333,0.666667,0,0,1,11,3,2,7,0.333333,0.166667,0.5,0.166667,0.166667,0.666667,11,3,2,1,0.5,0.25,0,0.25,0.25,0.25,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
17,West Brom,38,7,15,16,43,59,-16,36,0.210526,0.473684,0.315789,0.157895,0.315789,0.526316,187,103,84,485,257,228,145,78,67,0.298969,0.303502,0.29386,0,0,0,2,0,0,1,0,0,1,4,0,4,2,0,1,0,0,0.333333,0.666667,7,1,4,1,0,0.666667,0.333333,0.333333,0.666667,0,14,4,2,6,0.5,0,0.5,0.166667,0.333333,0.5,5,1,2,3,0.25,0.5,0,0,0,0.75,6,1,3,2,0,0.666667,0.333333,0.333333,0.333333,0.333333
18,Norwich,38,8,9,21,28,62,-34,33,0.315789,0.315789,0.368421,0.105263,0.157895,0.736842,197,121,76,464,265,199,146,77,69,0.314655,0.290566,0.346734,1,0,1,1,0,1,0,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,16,4,4,4,0.5,0.5,0,0.166667,0.166667,0.666667,10,3,1,4,0.5,0,0.5,0.25,0.25,0.5,1,0,1,3,0,0.333333,0.333333,0,0,0.666667
19,Fulham,38,9,5,24,40,85,-45,32,0.263158,0.157895,0.578947,0.210526,0.105263,0.684211,194,125,69,431,266,165,149,94,55,0.345708,0.353383,0.333333,0,0,0,2,0,0,1,0,0,1,0,0,0,6,0,0,1,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,13,4,1,7,0.5,0.166667,0.333333,0.166667,0,0.833333,12,3,3,2,0.25,0.5,0.25,0.5,0.25,0.25,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333
20,Cardiff,38,7,9,22,32,74,-42,30,0.263158,0.263158,0.473684,0.105263,0.210526,0.684211,196,110,86,419,228,191,126,74,52,0.300716,0.324561,0.272251,3,1,0,1,1,0,0,0,0,1,0,0,0,6,0,0,1,0,0,1,2,0,2,4,0,0.666667,0.333333,0,0,1,8,2,2,8,0.166667,0.166667,0.666667,0.166667,0.166667,0.666667,7,1,4,3,0.25,0.5,0.25,0,0.5,0.5,10,3,1,0,0.666667,0,0,0.333333,0.333333,0
