Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Arsenal,38,26,12,0,73,26,47,90,0.789474,0.210526,0,0.578947,0.421053,0,202,118,84,471,260,211,273,151,122,0.579618,0.580769,0.578199,0,0,0,0,0,0,0,0,0,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0,14,4,2,0,1,0,0,0.333333,0.666667,0,26,7,5,0,0.5,0.5,0,0.666667,0.333333,0,20,6,2,0,1,0,0,0.5,0.5,0,16,5,1,0,1,0,0,0.666667,0.333333,0
2,Chelsea,38,24,7,7,67,30,37,79,0.631579,0.210526,0.157895,0.631579,0.157895,0.210526,228,126,102,481,254,227,244,122,122,0.507277,0.480315,0.537445,0,0,0,2,0,0,1,0,0,1,7,2,1,1,0.333333,0,0.333333,0.333333,0.333333,0,9,3,0,3,1,0,0,0,0,1,27,8,3,1,0.5,0.333333,0.166667,0.833333,0.166667,0,20,6,2,0,0.5,0.5,0,1,0,0,16,5,1,0,1,0,0,0.666667,0.333333,0
3,Man United,38,23,6,9,64,35,29,75,0.631579,0.210526,0.157895,0.578947,0.105263,0.315789,215,115,100,494,259,235,284,142,142,0.574899,0.548263,0.604255,2,0,2,0,0,1,0,0,1,0,4,1,1,2,0,0.333333,0.333333,0.333333,0,0.333333,16,5,1,0,0.666667,0.333333,0,1,0,0,22,7,1,4,0.666667,0,0.333333,0.5,0.166667,0.333333,18,6,0,2,1,0,0,0.5,0,0.5,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
4,Liverpool,38,16,12,10,55,37,18,60,0.526316,0.210526,0.263158,0.315789,0.421053,0.263158,260,147,113,558,304,254,300,156,144,0.537634,0.513158,0.566929,0,0,0,2,0,0,1,0,0,1,6,2,0,2,0,0,0.666667,0.666667,0,0,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,21,6,3,3,0.666667,0.166667,0.166667,0.333333,0.333333,0.333333,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,12,3,3,0,1,0,0,0,1,0
5,Newcastle,38,13,17,8,52,40,12,56,0.578947,0.263158,0.157895,0.105263,0.631579,0.263158,237,142,95,448,280,168,262,166,96,0.584821,0.592857,0.571429,1,0,1,1,0,1,0,0,0,1,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,6,1,3,0,0.333333,0.333333,0,0,0.666667,0,22,6,4,2,0.666667,0.166667,0.166667,0.333333,0.5,0.166667,11,3,2,3,0.75,0,0.25,0,0.5,0.5,10,2,4,0,0.666667,0.333333,0,0,1,0
6,Aston Villa,37,14,11,12,45,43,2,53,0.421053,0.315789,0.210526,0.315789,0.263158,0.421053,237,121,116,435,230,205,222,122,100,0.510345,0.530435,0.487805,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,8,2,2,0,0.333333,0.333333,0,0.333333,0.333333,0,20,5,5,2,0.5,0.333333,0.166667,0.333333,0.5,0.166667,8,2,2,4,0.25,0.5,0.25,0.25,0,0.75,13,4,1,0,0.666667,0,0,0.666667,0.333333,0
7,Charlton,38,14,11,13,51,51,0,53,0.368421,0.315789,0.315789,0.368421,0.263158,0.368421,201,109,92,384,216,168,200,116,84,0.520833,0.537037,0.5,1,0,1,1,0,1,0,0,0,1,9,3,0,3,0.666667,0,0.333333,0.333333,0,0.666667,1,0,1,3,0,0.333333,0.333333,0,0,0.666667,19,5,4,3,0.5,0.333333,0.166667,0.333333,0.333333,0.333333,14,4,2,2,0.25,0.25,0.5,0.75,0.25,0,9,2,3,1,0.333333,0.333333,0.333333,0.333333,0.666667,0
8,Bolton,38,14,11,13,48,56,-8,53,0.315789,0.421053,0.263158,0.421053,0.157895,0.421053,238,155,83,533,310,223,290,177,113,0.54409,0.570968,0.506726,1,0,1,1,0,1,0,0,0,1,4,1,1,4,0,0.333333,0.666667,0.333333,0,0.666667,10,2,4,0,0.333333,0.666667,0,0.333333,0.666667,0,10,3,1,6,0.333333,0.166667,0.333333,0.166667,0,0.666667,16,5,1,2,0.5,0.25,0.25,0.75,0,0.25,12,3,3,0,0.333333,0.666667,0,0.666667,0.333333,0
9,Fulham,38,14,10,14,52,46,6,52,0.473684,0.210526,0.315789,0.263158,0.315789,0.421053,160,92,68,402,213,189,221,118,103,0.549751,0.553991,0.544974,1,0,1,1,0,0,1,0,1,0,5,1,2,3,0,0.333333,0.666667,0.333333,0.333333,0.333333,3,1,0,5,0.333333,0,0.666667,0,0,1,19,5,4,1,0.666667,0.166667,0,0.166667,0.5,0.166667,14,4,2,2,0.5,0.25,0.25,0.5,0.25,0.25,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667
10,Birmingham,38,12,14,12,43,48,-5,50,0.421053,0.263158,0.315789,0.210526,0.473684,0.315789,185,111,74,328,185,143,176,106,70,0.536585,0.572973,0.48951,1,0,1,1,0,0,1,0,1,0,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,7,1,4,1,0,0.666667,0.333333,0.333333,0.666667,0,18,5,3,2,0.666667,0.166667,0,0.166667,0.333333,0.333333,11,3,2,3,0.75,0,0.25,0,0.5,0.5,11,3,2,1,0.333333,0.333333,0.333333,0.666667,0.333333,0
