Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man United,38,25,7,6,73,35,38,82,0.789474,0.210526,0,0.526316,0.157895,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,2,0.333333,0.666667,0,0.333333,0,0.666667,15,5,0,1,1,0,0,0.666667,0,0.333333,26,8,2,2,0.833333,0.166667,0,0.5,0.166667,0.333333,17,5,2,1,0.75,0.25,0,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
2,Newcastle,38,24,6,8,66,37,29,78,0.894737,0.0526316,0.0526316,0.368421,0.263158,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,7,2,1,1,0.666667,0,0,0,0.333333,0.333333,12,4,0,2,1,0,0,0.333333,0,0.666667,24,7,3,2,0.833333,0.166667,0,0.333333,0.333333,0.333333,19,6,1,1,1,0,0,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
3,Liverpool,38,20,11,7,70,34,36,71,0.736842,0.210526,0.0526316,0.315789,0.368421,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,1,0,9,3,0,1,0.666667,0,0,0.333333,0,0.333333,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0,21,6,3,3,0.833333,0.166667,0,0.166667,0.333333,0.5,10,2,4,2,0.25,0.75,0,0.25,0.25,0.5,16,5,1,0,1,0,0,0.666667,0.333333,0
4,Aston Villa,38,18,9,11,52,35,17,63,0.578947,0.263158,0.157895,0.368421,0.210526,0.421053,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,1,0,1,0,1,3,0,0.333333,0.333333,0,0,0.666667,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,22,6,4,2,0.333333,0.5,0.166667,0.666667,0.166667,0.166667,19,6,1,1,1,0,0,0.5,0.25,0.25,9,3,0,3,0.666667,0,0.333333,0.333333,0,0.666667
5,Arsenal,38,17,12,9,49,32,17,63,0.526316,0.368421,0.105263,0.368421,0.263158,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,5,1,2,1,0,0.333333,0.333333,0.333333,0.333333,0,22,6,4,2,0.333333,0.666667,0,0.666667,0,0.333333,12,3,3,2,0.5,0.25,0.25,0.25,0.5,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
6,Everton,38,17,10,11,64,44,20,61,0.526316,0.263158,0.210526,0.368421,0.263158,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,9,3,0,1,0.333333,0,0.333333,0.666667,0,0,20,5,5,2,0.666667,0.333333,0,0.166667,0.5,0.333333,12,3,3,2,0.25,0.5,0.25,0.5,0.25,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
7,Blackburn,38,18,7,13,61,47,14,61,0.736842,0.105263,0.157895,0.210526,0.263158,0.526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,2,0,2,2,0,0.333333,0.333333,0,0.333333,0.333333,29,9,2,1,1,0,0,0.5,0.333333,0.166667,13,4,1,3,1,0,0,0,0.25,0.75,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
8,Tottenham,38,16,13,9,50,38,12,61,0.473684,0.263158,0.263158,0.368421,0.421053,0.210526,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,3,0,3,3,0,0.333333,0.666667,0,0.666667,0.333333,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,13,3,4,3,0.166667,0.333333,0.333333,0.333333,0.333333,0.166667,22,7,1,0,1,0,0,0.75,0.25,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
9,Nott'm Forest,38,15,13,10,50,54,-4,58,0.578947,0.315789,0.105263,0.210526,0.368421,0.421053,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,18,5,3,2,0.5,0.333333,0,0.333333,0.166667,0.333333,17,5,2,1,0.75,0.25,0,0.5,0.25,0.25,12,3,3,0,1,0,0,0,1,0
10,West Ham,38,14,9,15,43,52,-9,51,0.473684,0.263158,0.263158,0.263158,0.210526,0.526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,14,4,2,4,0.333333,0.166667,0.333333,0.333333,0.166667,0.333333,16,4,4,0,0.5,0.5,0,0.5,0.5,0,12,4,0,2,1,0,0,0.333333,0,0.666667
11,Chelsea,38,12,14,12,46,44,2,50,0.368421,0.368421,0.263158,0.263158,0.368421,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,15,4,3,3,0.5,0.166667,0.166667,0.166667,0.333333,0.333333,10,2,4,2,0.25,0.5,0.25,0.25,0.5,0.25,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333
12,Middlesbrough,38,11,10,17,35,50,-15,43,0.421053,0.157895,0.421053,0.157895,0.368421,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,12,3,3,4,0.333333,0.333333,0.166667,0.166667,0.166667,0.5,12,3,3,2,0.5,0.25,0.25,0.25,0.5,0.25,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0
13,Leeds,38,12,7,19,40,57,-17,43,0.421053,0.157895,0.421053,0.210526,0.210526,0.578947,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,6,2,0,4,0.666667,0,0.333333,0,0,1,2,0,2,4,0,0.666667,0.333333,0,0,1,10,3,1,6,0.333333,0,0.5,0.166667,0.166667,0.5,15,4,3,1,0.75,0.25,0,0.25,0.5,0.25,7,2,1,3,0,0,1,0.666667,0.333333,0
14,Wimbledon,38,10,11,17,55,70,-15,41,0.263158,0.315789,0.421053,0.263158,0.263158,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,7,2,1,3,0,0.333333,0.666667,0.666667,0,0.333333,13,3,4,5,0.166667,0.333333,0.5,0.333333,0.333333,0.333333,3,0,3,3,0,0.25,0.5,0,0.5,0.25,12,4,0,2,1,0,0,0.333333,0,0.666667
