Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Arsenal,38,26,9,3,79,36,43,87,0.631579,0.210526,0.157895,0.736842,0.263158,0,246,150,96,518,317,201,261,154,107,0.503861,0.485804,0.532338,0,0,0,0,0,0,0,0,0,0,13,4,1,1,0.333333,0.333333,0.333333,1,0,0,9,2,3,1,0.666667,0,0.333333,0,1,0,30,9,3,0,0.666667,0.333333,0,0.833333,0.166667,0,17,5,2,1,0.5,0.25,0.25,0.75,0.25,0,18,6,0,0,1,0,0,1,0,0
2,Liverpool,38,24,8,6,67,30,37,80,0.631579,0.263158,0.105263,0.631579,0.157895,0.210526,188,105,83,426,235,191,214,105,109,0.502347,0.446809,0.570681,1,0,1,1,0,0,1,0,1,0,12,4,0,0,0.666667,0,0,0.666667,0,0,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333,21,6,3,3,0.5,0.333333,0.166667,0.5,0.166667,0.333333,17,5,2,1,0.5,0.5,0,0.75,0,0.25,18,6,0,0,1,0,0,1,0,0
3,Man United,38,24,5,9,87,45,42,77,0.578947,0.105263,0.315789,0.684211,0.157895,0.157895,264,154,110,539,285,254,256,126,130,0.474954,0.442105,0.511811,0,0,0,2,0,0,1,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,10,3,1,2,0,0.333333,0.666667,1,0,0,29,9,2,1,0.833333,0,0.166667,0.666667,0.333333,0,19,6,1,1,0.5,0.25,0.25,1,0,0,16,5,1,0,1,0,0,0.666667,0.333333,0
4,Newcastle,38,21,8,9,74,52,22,71,0.631579,0.157895,0.210526,0.473684,0.263158,0.263158,262,155,107,464,263,201,223,129,94,0.480603,0.490494,0.467662,3,1,0,1,0,0,1,1,0,0,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,21,6,3,3,0.666667,0.166667,0.166667,0.333333,0.333333,0.333333,20,6,2,0,0.75,0.25,0,0.75,0.25,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
5,Leeds,38,18,12,8,53,37,16,66,0.473684,0.315789,0.210526,0.473684,0.315789,0.210526,214,122,92,470,279,191,235,133,102,0.5,0.476703,0.534031,4,1,1,0,0,1,0,1,0,0,2,0,2,4,0,0,1,0,0.666667,0.333333,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,24,7,3,2,0.666667,0.166667,0.166667,0.5,0.333333,0.166667,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,16,5,1,0,0.666667,0.333333,0,1,0,0
6,Chelsea,38,17,13,8,66,38,28,64,0.578947,0.210526,0.210526,0.315789,0.473684,0.210526,219,119,100,486,287,199,215,134,81,0.442387,0.466899,0.407035,1,0,1,1,0,1,0,0,0,1,10,3,1,2,0.333333,0.333333,0.333333,0.666667,0,0.333333,7,2,1,1,0.666667,0,0,0,0.333333,0.333333,20,5,5,2,0.333333,0.333333,0.333333,0.5,0.5,0,12,3,3,2,0.75,0,0.25,0,0.75,0.25,14,4,2,0,1,0,0,0.333333,0.666667,0
7,West Ham,38,15,8,15,48,57,-9,53,0.631579,0.210526,0.157895,0.157895,0.210526,0.631579,210,128,82,419,257,162,198,127,71,0.472554,0.494163,0.438272,1,0,1,1,0,1,0,0,0,1,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,14,4,2,6,0.5,0.166667,0.333333,0.166667,0.166667,0.666667,13,4,1,3,1,0,0,0,0.25,0.75,14,4,2,0,1,0,0,0.333333,0.666667,0
8,Aston Villa,38,12,14,12,46,47,-1,50,0.421053,0.368421,0.210526,0.210526,0.368421,0.421053,201,119,82,382,186,196,189,91,98,0.494764,0.489247,0.5,0,0,0,2,0,0,1,0,0,1,5,1,2,3,0,0.666667,0.333333,0.333333,0,0.666667,9,2,3,1,0.333333,0.333333,0.333333,0.333333,0.666667,0,16,4,4,2,0.5,0.333333,0,0.166667,0.333333,0.333333,12,3,3,2,0.5,0.5,0,0.25,0.25,0.5,8,2,2,2,0.666667,0,0.333333,0,0.666667,0.333333
9,Tottenham,38,14,8,16,49,53,-4,50,0.526316,0.210526,0.263158,0.210526,0.210526,0.578947,206,119,87,412,232,180,178,102,76,0.432039,0.439655,0.422222,1,0,1,1,0,1,0,0,0,1,6,2,0,4,0.333333,0,0.666667,0.333333,0,0.666667,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,18,5,3,2,0.666667,0.166667,0,0.166667,0.333333,0.333333,12,3,3,2,0.5,0.25,0.25,0.25,0.5,0.25,6,2,0,4,0.666667,0,0.333333,0,0,1
10,Blackburn,38,12,10,16,55,51,4,46,0.421053,0.315789,0.263158,0.210526,0.210526,0.578947,236,117,119,442,260,182,213,126,87,0.4819,0.484615,0.478022,1,0,1,1,0,0,1,0,1,0,3,0,3,3,0,1,0,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,18,6,0,4,0.666667,0,0.166667,0.333333,0,0.5,14,4,2,2,0.5,0.25,0.25,0.5,0.25,0.25,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667
