Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man United,38,25,8,5,74,34,40,83,0.842105,0.105263,0.0526316,0.473684,0.315789,0.210526,268,160,108,531,309,222,308,180,128,0.580038,0.582524,0.576577,0,0,0,0,0,0,0,0,0,0,14,4,2,0,1,0,0,0.333333,0.666667,0,15,5,0,1,1,0,0,0.666667,0,0.333333,28,9,1,2,0.833333,0.166667,0,0.666667,0,0.333333,12,3,3,2,0.5,0.25,0.25,0.25,0.5,0.25,14,4,2,0,1,0,0,0.333333,0.666667,0
2,Arsenal,38,23,9,6,85,42,43,78,0.789474,0.105263,0.105263,0.421053,0.368421,0.210526,266,156,110,498,299,199,296,176,120,0.594378,0.588629,0.603015,1,0,1,1,0,1,0,0,0,1,8,2,2,0,0.666667,0,0,0,0.666667,0,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,31,10,1,1,1,0,0,0.666667,0.166667,0.166667,17,5,2,1,0.75,0,0.25,0.5,0.5,0,16,5,1,0,1,0,0,0.666667,0.333333,0
3,Newcastle,38,21,6,11,63,48,15,69,0.789474,0.105263,0.105263,0.315789,0.210526,0.473684,260,147,113,489,274,215,284,170,114,0.580777,0.620438,0.530233,0,0,0,2,0,0,1,0,0,1,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,10,3,1,2,1,0,0,0,0.333333,0.666667,28,9,1,2,1,0,0,0.5,0.166667,0.333333,13,4,1,3,0.5,0.25,0.25,0.5,0,0.5,14,4,2,0,1,0,0,0.333333,0.666667,0
4,Chelsea,38,19,10,9,68,38,30,67,0.631579,0.263158,0.105263,0.368421,0.263158,0.368421,214,112,102,473,249,224,258,133,125,0.545455,0.534137,0.558036,1,0,1,1,0,1,0,0,0,1,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333,26,7,5,0,0.666667,0.333333,0,0.5,0.5,0,12,3,3,2,0.75,0.25,0,0,0.5,0.5,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333
5,Liverpool,38,18,10,10,61,41,20,64,0.473684,0.421053,0.105263,0.473684,0.105263,0.421053,226,132,94,505,298,207,284,173,111,0.562376,0.580537,0.536232,0,0,0,2,0,0,1,0,0,1,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,6,1,3,0,0,0.666667,0,0.333333,0.333333,0,20,6,2,4,0.5,0.333333,0.166667,0.5,0,0.5,19,6,1,1,0.75,0.25,0,0.75,0,0.25,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
6,Blackburn,38,16,12,10,52,43,9,60,0.473684,0.368421,0.157895,0.368421,0.263158,0.368421,214,127,87,429,242,187,221,122,99,0.515152,0.504132,0.529412,3,1,0,1,1,0,0,0,0,1,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333,2,0,2,2,0,0.333333,0.333333,0,0.333333,0.333333,21,6,3,3,0.666667,0.166667,0.166667,0.333333,0.333333,0.333333,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,7,1,4,1,0,1,0,0.333333,0.333333,0.333333
7,Everton,38,17,8,13,48,49,-1,59,0.578947,0.263158,0.157895,0.315789,0.157895,0.526316,260,154,106,437,244,193,239,135,104,0.546911,0.553279,0.53886,0,0,0,2,0,0,1,0,0,1,6,2,0,4,0.666667,0,0.333333,0,0,1,7,2,1,1,0.333333,0,0.333333,0.333333,0.333333,0,14,3,5,4,0.5,0.5,0,0,0.333333,0.666667,16,5,1,2,0.75,0.25,0,0.5,0,0.5,16,5,1,0,0.666667,0.333333,0,1,0,0
8,Southampton,38,13,13,12,43,46,-3,52,0.473684,0.421053,0.105263,0.210526,0.263158,0.526316,217,119,98,460,248,212,227,128,99,0.493478,0.516129,0.466981,0,0,0,2,0,0,1,0,0,1,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,15,4,3,3,0.5,0.333333,0,0.166667,0.166667,0.5,14,3,5,0,0.5,0.5,0,0.25,0.75,0,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
9,Man City,38,15,6,17,47,54,-7,51,0.473684,0.105263,0.421053,0.315789,0.210526,0.473684,242,148,94,441,261,180,243,150,93,0.55102,0.574713,0.516667,4,1,1,0,1,0,0,0,1,0,3,1,0,5,0.333333,0,0.666667,0,0,1,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,11,3,2,5,0.166667,0.166667,0.5,0.333333,0.166667,0.333333,15,5,0,3,1,0,0,0.25,0,0.75,10,3,1,2,0.333333,0,0.666667,0.666667,0.333333,0
10,Tottenham,38,14,8,16,51,62,-11,50,0.473684,0.210526,0.315789,0.263158,0.210526,0.526316,223,125,98,396,238,158,214,125,89,0.540404,0.52521,0.563291,0,0,0,2,0,0,1,0,0,1,3,0,3,3,0,0.666667,0.333333,0,0.333333,0.666667,7,2,1,3,0.333333,0,0.666667,0.333333,0.333333,0.333333,14,4,2,4,0.333333,0.166667,0.333333,0.333333,0.166667,0.333333,14,4,2,2,0.75,0.25,0,0.25,0.25,0.5,12,4,0,2,1,0,0,0.333333,0,0.666667
