Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Liverpool,38,32,3,3,85,33,52,99,0.947368,0.0526316,0,0.736842,0.105263,0.157895,258,144,114,590,314,276,231,129,102,0.391525,0.410828,0.369565,0,0,0,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0.333333,0.333333,0.333333,18,6,0,0,1,0,0,1,0,0,29,9,2,1,0.833333,0.166667,0,0.666667,0.166667,0.166667,24,8,0,0,1,0,0,1,0,0,15,5,0,1,1,0,0,0.666667,0,0.333333
2,Man City,38,26,3,9,102,35,67,81,0.789474,0.105263,0.105263,0.578947,0.0526316,0.368421,298,157,141,745,394,351,263,135,128,0.35302,0.34264,0.364672,3,1,0,1,1,0,0,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,31,10,1,1,1,0,0,0.666667,0.166667,0.166667,22,7,1,0,0.75,0.25,0,1,0,0,15,5,0,1,1,0,0,0.666667,0,0.333333
3,Man United,38,18,12,8,66,36,30,66,0.526316,0.368421,0.105263,0.421053,0.263158,0.315789,204,96,108,543,299,244,216,118,98,0.39779,0.394649,0.401639,1,0,1,1,0,1,0,0,0,1,12,4,0,0,0.666667,0,0,0.666667,0,0,12,3,3,0,0.666667,0.333333,0,0.333333,0.666667,0,15,3,6,3,0.333333,0.5,0.166667,0.166667,0.5,0.333333,14,4,2,2,0.25,0.5,0.25,0.75,0,0.25,12,4,0,2,1,0,0,0.333333,0,0.666667
4,Chelsea,38,20,6,12,69,54,15,66,0.578947,0.157895,0.263158,0.473684,0.157895,0.368421,247,137,110,625,332,293,223,121,102,0.3568,0.364458,0.348123,0,0,0,2,0,0,1,0,0,1,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0,20,6,2,4,0.5,0.333333,0.166667,0.5,0,0.5,16,5,1,2,0.75,0,0.25,0.5,0.25,0.25,13,4,1,1,0.666667,0,0.333333,0.666667,0.333333,0
5,Leicester,38,18,8,12,67,41,26,62,0.578947,0.210526,0.210526,0.368421,0.210526,0.421053,222,118,104,537,262,275,190,88,102,0.353818,0.335878,0.370909,0,0,0,2,0,0,1,0,0,1,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,25,8,1,3,0.833333,0,0.166667,0.5,0.166667,0.333333,22,7,1,0,0.75,0.25,0,1,0,0,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667
6,Tottenham,38,16,11,11,61,47,14,59,0.631579,0.157895,0.210526,0.210526,0.421053,0.368421,200,110,90,445,246,199,160,79,81,0.359551,0.321138,0.407035,0,0,0,2,0,0,1,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333,19,5,4,3,0.666667,0.166667,0.166667,0.166667,0.5,0.333333,19,6,1,1,1,0,0,0.5,0.25,0.25,10,2,4,0,0.666667,0.333333,0,0,1,0
7,Wolves,38,15,14,9,51,40,11,59,0.421053,0.368421,0.210526,0.368421,0.368421,0.263158,193,88,105,459,234,225,145,71,74,0.315904,0.303419,0.328889,0,0,0,2,0,0,1,0,0,1,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,5,1,2,1,0,0.333333,0.333333,0.333333,0.333333,0,13,2,7,3,0.166667,0.666667,0.166667,0.166667,0.5,0.333333,18,5,3,0,0.75,0.25,0,0.5,0.5,0,15,5,0,1,1,0,0,0.666667,0,0.333333
8,Arsenal,38,14,14,10,56,48,8,56,0.526316,0.315789,0.157895,0.210526,0.421053,0.368421,231,128,103,410,231,179,151,91,60,0.368293,0.393939,0.335196,3,1,0,1,1,0,0,0,0,1,5,1,2,3,0.333333,0,0.666667,0,0.666667,0.333333,6,1,3,2,0,1,0,0.333333,0,0.666667,19,5,4,1,0.5,0.333333,0,0.333333,0.333333,0.166667,11,3,2,3,0.5,0.25,0.25,0.25,0.25,0.5,12,3,3,0,1,0,0,0,1,0
9,Sheffield United,38,14,12,12,39,39,0,54,0.526316,0.157895,0.315789,0.210526,0.473684,0.315789,212,133,79,354,209,145,115,70,45,0.324859,0.334928,0.310345,0,0,0,2,0,0,1,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,8,2,2,2,0.666667,0,0.333333,0,0.666667,0.333333,11,3,2,5,0.333333,0,0.5,0.166667,0.333333,0.333333,18,5,3,0,0.75,0.25,0,0.5,0.5,0,12,3,3,0,0.666667,0.333333,0,0.333333,0.666667,0
10,Burnley,38,15,9,14,43,50,-7,54,0.421053,0.210526,0.368421,0.368421,0.263158,0.368421,171,95,76,388,220,168,134,81,53,0.345361,0.368182,0.315476,1,0,1,1,0,0,1,0,1,0,3,1,0,5,0,0,1,0.333333,0,0.666667,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,15,4,3,3,0.5,0.333333,0,0.166667,0.166667,0.5,11,3,2,3,0.25,0,0.75,0.5,0.5,0,18,6,0,0,1,0,0,1,0,0
11,Southampton,38,15,7,16,51,60,-9,52,0.315789,0.157895,0.526316,0.473684,0.210526,0.315789,210,98,112,500,240,260,181,77,104,0.362,0.320833,0.4,0,0,0,2,0,0,1,0,0,1,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,7,2,1,3,0.333333,0,0.666667,0.333333,0.333333,0.333333,8,2,2,6,0.166667,0,0.666667,0.166667,0.333333,0.333333,14,4,2,2,0.25,0.5,0.25,0.75,0,0.25,15,5,0,1,0.666667,0,0.333333,1,0,0
12,Everton,38,13,10,15,44,56,-12,49,0.421053,0.368421,0.210526,0.263158,0.157895,0.578947,203,108,95,470,252,218,162,93,69,0.344681,0.369048,0.316514,1,0,1,1,0,1,0,0,0,1,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,7,2,1,3,0.666667,0.333333,0,0,0,1,15,4,3,3,0.166667,0.5,0.166667,0.5,0,0.333333,12,3,3,2,0.75,0.25,0,0,0.5,0.5,9,3,0,3,0.333333,0,0.666667,0.666667,0,0.333333
13,Newcastle,38,11,11,16,38,58,-20,44,0.315789,0.421053,0.263158,0.263158,0.157895,0.578947,151,86,65,395,233,162,131,77,54,0.331646,0.330472,0.333333,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.666667,0.333333,0,0,0,1,5,1,2,3,0,0.333333,0.666667,0.333333,0.333333,0.333333,14,4,2,4,0.333333,0.166667,0.333333,0.333333,0.166667,0.333333,10,2,4,2,0.25,0.75,0,0.25,0.25,0.5,8,2,2,2,0.333333,0.666667,0,0.333333,0,0.666667
14,Crystal Palace,38,11,10,17,31,50,-19,43,0.315789,0.263158,0.421053,0.263158,0.263158,0.473684,177,111,66,376,231,145,120,68,52,0.319149,0.294372,0.358621,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0,0,1,0.333333,0.333333,0.333333,2,0,2,4,0,0.666667,0.333333,0,0,1,10,2,4,6,0.166667,0.333333,0.5,0.166667,0.333333,0.5,13,4,1,1,0.5,0.25,0,0.5,0,0.25,14,4,2,0,1,0,0,0.333333,0.666667,0
15,Brighton,38,9,14,15,39,54,-15,41,0.263158,0.368421,0.368421,0.210526,0.368421,0.421053,178,103,75,461,236,225,142,68,74,0.308026,0.288136,0.328889,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0.333333,0.666667,0,0,1,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,17,4,5,3,0.333333,0.333333,0.333333,0.333333,0.5,0.166667,4,0,4,2,0,0.5,0.25,0,0.5,0.25,13,4,1,1,0.666667,0.333333,0,0.666667,0,0.333333
