Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man United,38,28,7,3,97,45,52,91,0.789474,0.210526,0,0.684211,0.157895,0.157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,2,0,0.333333,0.666667,0,1,0,0,13,4,1,1,1,0,0,0.333333,0.333333,0.333333,28,9,1,2,1,0,0,0.5,0.166667,0.333333,22,7,1,0,0.75,0.25,0,1,0,0,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
2,Arsenal,38,22,7,9,73,43,30,73,0.736842,0.157895,0.105263,0.421053,0.210526,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333,14,4,2,0,1,0,0,0.333333,0.666667,0,22,7,1,4,0.833333,0.166667,0,0.333333,0,0.666667,18,6,0,2,1,0,0,0.5,0,0.5,12,3,3,0,0.333333,0.666667,0,0.666667,0.333333,0
3,Leeds,38,21,6,11,58,43,15,69,0.631579,0.105263,0.263158,0.473684,0.210526,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,4,0,0,0.666667,0,0,0.666667,9,3,0,3,0.333333,0,0.666667,0.666667,0,0.333333,23,6,5,1,0.833333,0.166667,0,0.166667,0.666667,0.166667,22,7,1,0,0.75,0.25,0,1,0,0,15,5,0,1,1,0,0,0.666667,0,0.333333
4,Liverpool,38,19,10,9,51,30,21,67,0.578947,0.210526,0.210526,0.421053,0.315789,0.263158,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,12,4,0,0,0.666667,0,0,0.666667,0,0,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333,13,3,4,5,0.5,0.166667,0.333333,0,0.5,0.5,17,5,2,1,0.75,0.25,0,0.5,0.25,0.25,15,5,0,1,0.666667,0,0.333333,1,0,0
5,Chelsea,38,18,11,9,53,34,19,65,0.631579,0.263158,0.105263,0.315789,0.315789,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,6,2,0,4,0.333333,0,0.666667,0.333333,0,0.666667,7,2,1,1,0.666667,0,0,0,0.333333,0.333333,22,5,7,0,0.333333,0.666667,0,0.5,0.5,0,15,4,3,1,0.75,0.25,0,0.25,0.5,0.25,12,4,0,2,1,0,0,0.333333,0,0.666667
6,Aston Villa,38,15,13,10,46,35,11,58,0.421053,0.421053,0.157895,0.368421,0.263158,0.368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333,2,0,2,2,0,0.666667,0,0,0,0.666667,20,5,5,2,0.333333,0.5,0.166667,0.5,0.333333,0.166667,13,4,1,3,0.75,0,0.25,0.25,0.25,0.5,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
7,Sunderland,38,16,10,12,57,56,1,58,0.526316,0.315789,0.157895,0.315789,0.210526,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,7,2,1,1,0.666667,0,0,0,0.333333,0.333333,19,5,4,3,0.666667,0.333333,0,0.166667,0.333333,0.5,14,4,2,2,0.25,0.5,0.25,0.75,0,0.25,15,5,0,1,1,0,0,0.666667,0,0.333333
8,Leicester,38,16,7,15,55,55,0,55,0.526316,0.157895,0.315789,0.315789,0.210526,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,9,2,3,1,0.666667,0.333333,0,0,0.666667,0.333333,14,4,2,4,0.166667,0.166667,0.5,0.5,0.166667,0.166667,15,5,0,3,0.75,0,0.25,0.5,0,0.5,10,3,1,2,1,0,0,0,0.333333,0.666667
9,West Ham,38,15,10,13,52,53,-1,55,0.578947,0.263158,0.157895,0.210526,0.263158,0.526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.666667,0.333333,0,0,0,1,5,0,5,1,0,1,0,0,0.666667,0.333333,14,4,2,4,0.5,0,0.333333,0.166667,0.333333,0.333333,16,5,1,2,0.75,0.25,0,0.5,0,0.5,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
10,Tottenham,38,15,8,15,57,49,8,53,0.526316,0.157895,0.315789,0.263158,0.263158,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,6,2,0,4,0.666667,0,0.333333,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,11,3,2,5,0.333333,0.166667,0.333333,0.166667,0.166667,0.5,18,5,3,0,0.5,0.5,0,0.75,0.25,0,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0
11,Newcastle,38,14,10,14,63,54,9,52,0.526316,0.263158,0.210526,0.210526,0.263158,0.526316,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,4,1,1,4,0,0,1,0.333333,0.333333,0.333333,15,4,3,3,0.333333,0.333333,0.166667,0.333333,0.166667,0.333333,13,4,1,3,1,0,0,0,0.25,0.75,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
12,Middlesbrough,38,14,10,14,46,52,-6,52,0.421053,0.263158,0.315789,0.315789,0.263158,0.421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,3,0,3,3,0,0.333333,0.666667,0,0.666667,0.333333,19,6,1,3,0.5,0.166667,0.166667,0.5,0,0.333333,11,3,2,3,0.5,0,0.5,0.25,0.5,0.25,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333
13,Everton,38,12,14,12,59,49,10,50,0.368421,0.473684,0.157895,0.263158,0.263158,0.473684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,6,1,3,2,0,0.666667,0.333333,0.333333,0.333333,0.333333,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,10,2,4,4,0.166667,0.333333,0.333333,0.166667,0.333333,0.333333,11,3,2,3,0.75,0.25,0,0,0.25,0.75,16,5,1,0,0.666667,0.333333,0,1,0,0
14,Coventry,38,12,8,18,47,54,-7,44,0.631579,0.0526316,0.315789,0,0.368421,0.631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,1,0,5,0.333333,0,0.666667,0,0,1,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,13,4,1,7,0.666667,0,0.333333,0,0.166667,0.833333,9,2,3,1,0.5,0,0.25,0,0.75,0,11,3,2,1,1,0,0,0,0.666667,0.333333
15,Southampton,38,12,8,18,45,62,-17,44,0.421053,0.210526,0.368421,0.210526,0.210526,0.578947,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,7,2,1,3,0.333333,0,0.666667,0.333333,0.333333,0.333333,10,3,1,8,0.5,0.166667,0.333333,0,0,1,11,3,2,1,0.25,0.5,0,0.5,0,0.25,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
16,Derby,38,9,11,18,44,57,-13,38,0.315789,0.157895,0.526316,0.157895,0.421053,0.421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,15,4,3,5,0.333333,0.166667,0.5,0.333333,0.333333,0.333333,6,1,3,2,0.25,0.25,0.25,0,0.5,0.25,12,3,3,0,0.666667,0.333333,0,0.333333,0.666667,0
17,Bradford,38,9,9,20,38,68,-30,36,0.315789,0.421053,0.263158,0.157895,0.0526316,0.789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,6,2,0,4,0.666667,0,0.333333,0,0,1,5,1,2,3,0,0.666667,0.333333,0.333333,0,0.666667,13,3,4,5,0.333333,0.5,0.166667,0.166667,0.166667,0.666667,5,1,2,3,0,0.5,0.25,0.25,0,0.5,7,2,1,3,0.666667,0.333333,0,0,0,1
18,Wimbledon,38,7,12,19,46,74,-28,33,0.315789,0.368421,0.315789,0.0526316,0.263158,0.684211,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,10,2,4,6,0.333333,0.333333,0.333333,0,0.333333,0.666667,6,1,3,4,0.25,0.75,0,0,0,1,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333
19,Sheffield Weds,38,8,7,23,38,70,-32,31,0.315789,0.157895,0.526316,0.105263,0.210526,0.684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,3,1,0,5,0.333333,0,0.666667,0,0,1,13,4,1,7,0.5,0,0.5,0.166667,0.166667,0.666667,6,1,3,4,0.25,0.25,0.5,0,0.5,0.5,7,2,1,1,0.333333,0.333333,0,0.333333,0,0.333333
20,Watford,38,6,6,26,35,77,-42,24,0.263158,0.210526,0.526316,0.0526316,0.105263,0.842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,1,0,5,0,0,1,0.333333,0,0.666667,3,1,0,5,0.333333,0,0.666667,0,0,1,4,0,4,8,0,0.5,0.5,0,0.166667,0.833333,10,3,1,4,0.75,0.25,0,0,0,1,4,1,1,2,0.333333,0,0.333333,0,0.333333,0.333333
