Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man United,38,24,8,6,79,31,48,80,0.789474,0.105263,0.105263,0.473684,0.315789,0.210526,269,151,118,556,323,233,264,152,112,0.47482,0.470588,0.480687,0,0,0,0,0,0,0,0,0,0,7,2,1,3,0.666667,0,0.333333,0,0.333333,0.666667,12,3,3,0,0.666667,0.333333,0,0.333333,0.666667,0,26,8,2,2,1,0,0,0.333333,0.333333,0.333333,19,6,1,1,0.75,0,0.25,0.75,0.25,0,16,5,1,0,0.666667,0.333333,0,1,0,0
2,Arsenal,38,20,10,8,63,38,25,70,0.789474,0.157895,0.0526316,0.263158,0.368421,0.368421,295,176,119,540,323,217,295,189,106,0.546296,0.585139,0.488479,3,1,0,1,1,0,0,0,0,1,6,2,0,2,0.666667,0,0,0,0,0.666667,7,1,4,1,0.333333,0.666667,0,0,0.666667,0.333333,22,6,4,2,1,0,0,0,0.666667,0.333333,16,5,1,2,0.5,0.25,0.25,0.75,0,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
3,Liverpool,38,20,9,9,71,39,32,69,0.684211,0.210526,0.105263,0.368421,0.263158,0.368421,243,145,98,488,282,206,249,142,107,0.510246,0.503546,0.519417,6,2,0,0,1,0,0,1,0,0,3,1,0,3,0.333333,0,0.333333,0,0,0.666667,4,0,4,2,0,0.666667,0.333333,0,0.666667,0.333333,25,8,1,3,1,0,0,0.333333,0.166667,0.5,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
4,Leeds,38,20,8,10,64,43,21,68,0.578947,0.157895,0.263158,0.473684,0.263158,0.263158,270,169,101,475,281,194,228,132,96,0.48,0.469751,0.494845,1,0,1,1,0,1,0,0,0,1,9,3,0,1,0.666667,0,0,0.333333,0,0.333333,13,4,1,1,0.666667,0,0.333333,0.666667,0.333333,0,21,7,0,5,0.666667,0,0.333333,0.5,0,0.5,13,3,4,1,0.25,0.5,0.25,0.5,0.5,0,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0
5,Ipswich,38,20,6,12,57,42,15,66,0.578947,0.263158,0.157895,0.473684,0.0526316,0.473684,206,124,82,491,298,193,226,141,85,0.460285,0.473154,0.440415,1,0,1,1,0,1,0,0,0,1,8,2,2,2,0,0.666667,0.333333,0.666667,0,0.333333,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,18,6,0,6,0.833333,0,0.166667,0.166667,0,0.833333,17,5,2,1,0.5,0.25,0.25,0.75,0.25,0,18,6,0,0,1,0,0,1,0,0
6,Chelsea,38,17,10,11,68,45,23,61,0.684211,0.157895,0.157895,0.210526,0.368421,0.421053,212,118,94,504,280,224,240,136,104,0.47619,0.485714,0.464286,2,0,2,0,0,1,0,0,1,0,7,1,4,1,0.333333,0.666667,0,0,0.666667,0.333333,4,1,1,2,0.333333,0,0.333333,0,0.333333,0.333333,17,5,2,5,0.666667,0,0.333333,0.166667,0.333333,0.5,18,6,0,2,1,0,0,0.5,0,0.5,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
7,Sunderland,38,15,12,11,46,41,5,57,0.473684,0.368421,0.157895,0.315789,0.263158,0.421053,187,102,85,449,256,193,218,134,84,0.485523,0.523438,0.435233,0,0,0,2,0,0,1,0,0,1,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,9,3,0,1,0.666667,0,0,0.333333,0,0.333333,17,4,5,3,0.166667,0.666667,0.166667,0.5,0.166667,0.333333,15,4,3,1,0.75,0.25,0,0.25,0.5,0.25,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667
8,Aston Villa,38,13,15,10,46,43,3,54,0.421053,0.421053,0.157895,0.263158,0.368421,0.368421,186,111,75,349,183,166,165,88,77,0.472779,0.480874,0.463855,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0,0.333333,0.666667,0.333333,0,0.666667,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333,14,3,5,2,0.5,0.333333,0,0,0.5,0.333333,13,3,4,1,0.5,0.5,0,0.25,0.5,0.25,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
9,Charlton,38,14,10,14,50,57,-7,52,0.578947,0.263158,0.157895,0.157895,0.263158,0.578947,213,114,99,373,206,167,217,119,98,0.581769,0.57767,0.586826,1,0,1,1,0,1,0,0,0,1,3,1,0,5,0.333333,0,0.666667,0,0,1,9,3,0,3,0.666667,0,0.333333,0.333333,0,0.666667,16,4,4,2,0.5,0.333333,0,0.166667,0.333333,0.333333,12,3,3,2,0.75,0.25,0,0,0.5,0.5,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
10,Southampton,38,14,10,14,40,48,-8,52,0.578947,0.105263,0.315789,0.157895,0.421053,0.421053,211,115,96,414,243,171,174,100,74,0.42029,0.411523,0.432749,3,1,0,1,1,0,0,0,0,1,7,2,1,3,0.666667,0.333333,0,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,17,4,5,1,0.666667,0.166667,0,0,0.666667,0.166667,11,3,2,3,0.5,0,0.5,0.25,0.5,0.25,10,3,1,2,0.333333,0,0.666667,0.666667,0.333333,0
11,Newcastle,38,14,9,15,44,50,-6,51,0.526316,0.210526,0.263158,0.210526,0.263158,0.526316,193,101,92,414,245,169,191,104,87,0.461353,0.42449,0.514793,1,0,1,1,0,1,0,0,0,1,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667,5,1,2,3,0.333333,0.333333,0.333333,0,0.333333,0.666667,12,3,3,4,0.5,0.166667,0.166667,0,0.333333,0.5,10,3,1,4,0.5,0,0.5,0.25,0.25,0.5,13,4,1,1,0.666667,0,0.333333,0.666667,0.333333,0
12,Tottenham,38,13,10,15,47,54,-7,49,0.578947,0.315789,0.105263,0.105263,0.210526,0.684211,171,105,66,383,235,148,181,107,74,0.472585,0.455319,0.5,3,1,0,1,1,0,0,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,9,3,0,3,0.666667,0,0.333333,0.333333,0,0.666667,9,2,3,5,0.333333,0.5,0,0,0,0.833333,13,3,4,1,0.75,0.25,0,0,0.75,0.25,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
13,Leicester,38,14,6,18,39,51,-12,48,0.526316,0.210526,0.263158,0.210526,0.105263,0.684211,174,99,75,326,199,127,159,97,62,0.48773,0.487437,0.488189,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.666667,0.333333,0,0,0,1,13,4,1,1,1,0,0,0.333333,0.333333,0.333333,11,3,2,5,0.5,0.333333,0,0,0,0.833333,13,4,1,3,0.5,0.25,0.25,0.5,0,0.5,4,1,1,4,0,0,1,0.333333,0.333333,0.333333
14,Middlesbrough,38,9,15,14,44,44,0,42,0.210526,0.368421,0.421053,0.263158,0.421053,0.315789,146,85,61,352,212,140,167,93,74,0.474432,0.438679,0.528571,0,0,0,2,0,0,1,0,0,1,8,2,2,2,0.333333,0,0.666667,0.333333,0.666667,0,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,14,3,5,4,0,0.5,0.5,0.5,0.333333,0.166667,8,2,2,2,0.5,0,0.25,0,0.5,0.25,8,1,5,0,0,1,0,0.333333,0.666667,0
15,West Ham,38,10,12,16,45,50,-5,42,0.315789,0.315789,0.368421,0.210526,0.315789,0.473684,213,115,98,475,280,195,229,132,97,0.482105,0.471429,0.497436,1,0,1,1,0,1,0,0,0,1,4,1,1,4,0,0.333333,0.666667,0.333333,0,0.666667,2,0,2,4,0,0,1,0,0.666667,0.333333,16,4,4,4,0.5,0.333333,0.166667,0.166667,0.333333,0.5,8,2,2,2,0.5,0,0.25,0,0.5,0.25,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333
16,Everton,38,11,9,18,45,59,-14,42,0.315789,0.421053,0.263158,0.263158,0.0526316,0.684211,203,110,93,394,229,165,195,117,78,0.494924,0.510917,0.472727,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,13,3,4,5,0.333333,0.5,0.166667,0.166667,0.166667,0.666667,9,2,3,1,0,0.75,0,0.5,0,0.25,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333
17,Derby,38,10,12,16,37,59,-22,42,0.421053,0.368421,0.210526,0.105263,0.263158,0.631579,159,80,79,305,148,157,141,65,76,0.462295,0.439189,0.484076,3,1,0,1,0,0,1,1,0,0,4,0,4,2,0,0.333333,0.666667,0,1,0,7,2,1,3,0.333333,0.333333,0.333333,0.333333,0,0.666667,14,4,2,6,0.666667,0.333333,0,0,0,1,6,1,3,2,0.25,0.5,0,0,0.25,0.5,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667
18,Man City,38,8,10,20,41,65,-24,34,0.210526,0.157895,0.631579,0.210526,0.368421,0.421053,220,135,85,377,204,173,174,98,76,0.461538,0.480392,0.439306,1,0,1,1,0,0,1,0,1,0,4,1,1,4,0,0.333333,0.666667,0.333333,0,0.666667,3,1,0,5,0.333333,0,0.666667,0,0,1,11,3,2,7,0,0,1,0.5,0.333333,0.166667,10,2,4,2,0.5,0.5,0,0,0.5,0.5,5,1,2,1,0.333333,0,0.333333,0,0.666667,0
19,Coventry,38,8,10,20,36,63,-27,34,0.210526,0.368421,0.421053,0.210526,0.157895,0.631579,206,127,79,389,213,176,177,95,82,0.455013,0.446009,0.465909,0,0,0,2,0,0,1,0,0,1,1,0,1,5,0,0.333333,0.666667,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,16,4,4,4,0.333333,0.5,0.166667,0.333333,0.166667,0.5,8,2,2,4,0.25,0,0.75,0.25,0.5,0.25,5,1,2,1,0,0.666667,0,0.333333,0,0.333333
20,Bradford,38,5,11,22,30,70,-40,26,0.210526,0.368421,0.421053,0.0526316,0.210526,0.736842,179,108,71,371,221,150,174,101,73,0.469003,0.457014,0.486667,0,0,0,2,0,0,1,0,0,1,2,0,2,4,0,0.666667,0.333333,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,9,2,3,7,0.166667,0.5,0.333333,0.166667,0,0.833333,6,1,3,4,0.25,0.25,0.5,0,0.5,0.5,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333
