Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man United,38,28,5,5,83,27,56,89,0.789474,0.105263,0.105263,0.684211,0.157895,0.157895,258,129,129,627,355,272,342,194,148,0.545455,0.546479,0.544118,0,0,0,0,0,0,0,0,0,0,8,2,2,2,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,18,6,0,0,1,0,0,1,0,0,27,8,3,1,0.833333,0.166667,0,0.5,0.333333,0.166667,18,6,0,2,0.75,0,0.25,0.75,0,0.25,18,6,0,0,1,0,0,1,0,0
2,Chelsea,38,24,11,3,64,24,40,83,0.631579,0.368421,0,0.631579,0.210526,0.157895,230,123,107,522,285,237,271,147,124,0.519157,0.515789,0.523207,2,0,2,0,0,1,0,0,1,0,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,11,3,2,1,0.333333,0.666667,0,0.666667,0,0.333333,25,7,4,1,0.666667,0.333333,0,0.5,0.333333,0.166667,22,7,1,0,0.75,0.25,0,1,0,0,18,6,0,0,1,0,0,1,0,0
3,Liverpool,38,20,8,10,57,27,30,68,0.736842,0.210526,0.0526316,0.315789,0.210526,0.473684,282,144,138,592,346,246,286,161,125,0.483108,0.465318,0.50813,0,0,0,2,0,0,1,0,0,1,6,2,0,2,0.666667,0,0,0,0,0.666667,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667,19,5,4,3,0.666667,0.333333,0,0.166667,0.333333,0.5,19,6,1,1,1,0,0,0.5,0.25,0.25,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
4,Arsenal,38,19,11,8,63,35,28,68,0.631579,0.315789,0.0526316,0.368421,0.263158,0.368421,278,169,109,537,299,238,276,171,105,0.513966,0.571906,0.441176,6,2,0,0,1,0,0,1,0,0,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,8,2,2,2,0.666667,0.333333,0,0,0.333333,0.666667,22,5,7,0,0.333333,0.666667,0,0.5,0.5,0,12,4,0,4,0.75,0,0.25,0.25,0,0.75,15,5,0,1,1,0,0,0.666667,0,0.333333
5,Tottenham,38,17,9,12,57,54,3,60,0.631579,0.157895,0.210526,0.263158,0.315789,0.421053,181,109,72,442,261,181,237,143,94,0.536199,0.547893,0.519337,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,6,2,0,2,0.333333,0,0.333333,0.333333,0,0.333333,19,5,4,3,0.666667,0.166667,0.166667,0.166667,0.5,0.333333,18,5,3,0,0.75,0.25,0,0.5,0.5,0,13,4,1,1,1,0,0,0.333333,0.333333,0.333333
6,Everton,38,15,13,10,52,36,16,58,0.578947,0.210526,0.210526,0.210526,0.473684,0.315789,208,101,107,393,214,179,199,110,89,0.506361,0.514019,0.497207,0,0,0,2,0,0,1,0,0,1,9,2,3,1,0.666667,0,0.333333,0,1,0,7,2,1,1,0.333333,0,0.333333,0.333333,0.333333,0,17,4,5,3,0.5,0.333333,0.166667,0.166667,0.5,0.333333,11,3,2,3,0.5,0.5,0,0.25,0,0.75,14,4,2,0,1,0,0,0.333333,0.666667,0
7,Bolton,38,16,8,14,47,52,-5,56,0.473684,0.263158,0.263158,0.368421,0.157895,0.473684,215,125,90,350,207,143,184,115,69,0.525714,0.555556,0.482517,0,0,0,2,0,0,1,0,0,1,7,2,1,3,0.666667,0,0.333333,0,0.333333,0.666667,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,20,6,2,4,0.333333,0.333333,0.333333,0.666667,0,0.333333,14,4,2,2,0.5,0.25,0.25,0.5,0.25,0.25,11,3,2,1,0.666667,0.333333,0,0.333333,0.333333,0.333333
8,Reading,38,16,7,15,52,47,5,55,0.578947,0.105263,0.315789,0.263158,0.263158,0.473684,276,146,130,353,206,147,170,106,64,0.481586,0.514563,0.435374,1,0,1,1,0,1,0,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,11,3,2,5,0.5,0.166667,0.166667,0,0.166667,0.666667,21,7,0,1,1,0,0,0.75,0,0.25,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0
9,Portsmouth,38,14,12,12,45,42,3,54,0.578947,0.263158,0.157895,0.157895,0.368421,0.473684,245,155,90,453,280,173,234,147,87,0.516556,0.525,0.50289,3,1,0,1,1,0,0,0,0,1,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,16,4,4,2,0.5,0.333333,0,0.166667,0.333333,0.333333,15,4,3,1,0.75,0.25,0,0.25,0.5,0.25,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333
10,Blackburn,38,15,7,16,52,54,-2,52,0.473684,0.157895,0.368421,0.315789,0.210526,0.473684,203,110,93,418,234,184,208,118,90,0.497608,0.504274,0.48913,0,0,0,2,0,0,1,0,0,1,4,1,1,4,0.333333,0,0.666667,0,0.333333,0.666667,6,1,3,2,0,0.666667,0.333333,0.333333,0.333333,0.333333,16,5,1,4,0.333333,0.166667,0.333333,0.5,0,0.333333,16,5,1,2,0.75,0,0.25,0.5,0.25,0.25,10,3,1,2,1,0,0,0,0.333333,0.666667
